DESCRIPTIONID_VTM;VTM;CuentaDeVMP;Acumulado;GRUPO VTM
7157971000999117;PREPARADO CON ATOMOXETINA;5;892;GRUPO 9
7167241000999112;PREPARADO CON ATORVASTATINA;3;895;GRUPO 9
10442191000999110;PREPARADO CON ATORVASTATINA Y EZETIMIBE;2;897;GRUPO 9
6907161000999115;PREPARADO CON ATOSIBAN;2;899;GRUPO 9
6907261000999114;PREPARADO CON ATROPINA;3;902;GRUPO 9
10425781000999118;PREPARADO CON ATROPINA Y FITOMENADIONA;1;903;GRUPO 10
10424461000999115;PREPARADO CON ATROPINA Y NEOMICINA;1;904;GRUPO 10
11030851000999112;PREPARADO CON ATROPINA Y SULFATIAZOL;1;905;GRUPO 10
10759361000999117;PREPARADO CON AUROQUERATINATO DE CALCIO;4;909;GRUPO 10
10489611000999114;PREPARADO CON AUROTIOSULFATO SODICO;1;910;GRUPO 10
11186631000999118;PREPARADO CON AVENA Y ACEITES VOLATILES;1;911;GRUPO 10
11207811000999111;PREPARADO CON AVENA Y GLICERINA;1;912;GRUPO 10
10558721000999115;PREPARADO CON AZACITIDINA;1;913;GRUPO 10
6907321000999110;PREPARADO CON AZATIOPRINA;7;920;GRUPO 10
7177611000999118;PREPARADO CON AZELASTINA;2;922;GRUPO 10
6907431000999119;PREPARADO CON AZITROMICINA;10;932;GRUPO 10
6907471000999116;PREPARADO CON AZTREONAM;4;936;GRUPO 10
10550791000999115;PREPARADO CON AZUFRE;3;939;GRUPO 10
10871291000999115;PREPARADO CON AZUFRE Y ACIDO SALICILICO;1;940;GRUPO 10
10839891000999116;PREPARADO CON AZUFRE Y RESORCINOL;2;942;GRUPO 10
10765871000999114;PREPARADO CON AZUL DE TRIPTAN;1;943;GRUPO 10
8636241000999111;PREPARADO CON AZUL PATENTE;1;944;GRUPO 10
10902251000999118;PREPARADO CON BACITRACINA Y NEOMICINA;1;945;GRUPO 10
6907501000999110;PREPARADO CON BACLOFENO;4;949;GRUPO 10
10287041000999110;PREPARADO CON BALSALAZIDA;1;950;GRUPO 10
10586821000999117;PREPARADO CON BALSAMO DEL PERU;1;951;GRUPO 10
7172051000999113;PREPARADO CON BAMETAN;1;952;GRUPO 10
10436211000999111;PREPARADO CON BAMETANO Y ESCINA;1;953;GRUPO 10
7191091000999119;PREPARADO CON BARNIDIPINO;2;955;GRUPO 10
10340991000999118;PREPARADO CON BASILIXIMAB;1;956;GRUPO 10
7273301000999115;PREPARADO CON BECLOMETASONA;10;966;GRUPO 10
10584541000999118;PREPARADO CON BECLOMETASONA Y NEOMICINA;1;967;GRUPO 10
7195851000999115;PREPARADO CON BELLADONA;1;968;GRUPO 10
11062111000999114;PREPARADO CON BELLADONA Y PAPAVERINA;1;969;GRUPO 10
10391131000999116;PREPARADO CON BEMIPARINA SODICA;3;972;GRUPO 10
7164321000999117;PREPARADO CON BENCIDAMINA;5;977;GRUPO 10
11045231000999114;PREPARADO CON BENCIDAMINA Y CETILPIRIDINIO;1;978;GRUPO 10
8315321000999115;PREPARADO CON BENCIDAMINA Y HEXETIDINA;1;979;GRUPO 10
7164351000999113;PREPARADO CON BENCIDAMINA Y METAMIZOL SODICO;1;980;GRUPO 10
6907591000999116;PREPARADO CON BENCILPENICILINA;8;988;GRUPO 10
11505111000999118;PREPARADO CON BENDAMUSTINA;1;989;GRUPO 10
7164181000999115;PREPARADO CON BENFLUOREX;1;990;GRUPO 10
11249671000999118;PREPARADO CON BENTONITA;1;991;GRUPO 10
10473131000999117;PREPARADO CON BENZNIDAZOL;1;992;GRUPO 10
10711991000999116;PREPARADO CON BENZOATO DE SODIO;3;995;GRUPO 10
11106011000999118;PREPARADO CON BENZOATO DE SODIO Y BALSAMO DE TOLU;1;996;GRUPO 10
8281131000999110;PREPARADO CON BENZOCAINA;3;999;GRUPO 10
11081601000999111;PREPARADO CON BENZOCAINA Y  RESORCINOL;1;1000;GRUPO 10
11077751000999118;PREPARADO CON BENZOCAINA Y ACRIFLAVINA;1;1001;GRUPO 11
11115701000999111;PREPARADO CON BENZOCAINA Y CLOROBUTANOL;4;1005;GRUPO 11
10578901000999113;PREPARADO CON BENZOIL PEROXIDO;8;1013;GRUPO 11
10587441000999111;PREPARADO CON BENZOIL PEROXIDO Y CLINDAMICINA;3;1016;GRUPO 11
10890041000999119;PREPARADO CON BESIFLOXACINA;1;1017;GRUPO 11
10367631000999117;PREPARADO CON BESILATO DE ATRACURIO;2;1019;GRUPO 11
10985591000999117;PREPARADO CON BETA NAFTOL Y TRICLOSAN;1;1020;GRUPO 11
7138171000999115;PREPARADO CON BETACAROTENO;4;1024;GRUPO 11
7138271000999114;PREPARADO CON BETACAROTENO Y CANTAXANTINA;2;1026;GRUPO 11
10471921000999118;PREPARADO CON BETACAROTENO Y GELATINA;1;1027;GRUPO 11
10476351000999117;PREPARADO CON BETACAROTENO Y TOCOFERILO;1;1028;GRUPO 11
10440701000999118;PREPARADO CON BETACAROTENO Y VITAMINA E;2;1030;GRUPO 11
8283141000999119;PREPARADO CON BETAHISTINA;3;1033;GRUPO 11
8276971000999113;PREPARADO CON BETAMETASONA;27;1060;GRUPO 11
6978621000999114;PREPARADO CON BETAMETASONA ACETATO Y BETAMETASONA FOSFATO SODICO;1;1061;GRUPO 11
10469471000999118;PREPARADO CON BETAMETASONA DIPROPIONATO Y BETAMETASONA FOSFATO DISODICO;1;1062;GRUPO 11
6978641000999115;PREPARADO CON BETAMETASONA FOSFATO SODICO;1;1063;GRUPO 11
10912771000999117;PREPARADO CON BETAMETASONA GENTAMICINA Y CLOTRIMAZOL;6;1069;GRUPO 11
10914411000999112;PREPARADO CON BETAMETASONA GENTAMICINA Y NISTATINA;2;1071;GRUPO 11
10912991000999119;PREPARADO CON BETAMETASONA GENTAMICINA Y TOLNAFTATO;1;1072;GRUPO 11
10948741000999116;PREPARADO CON BETAMETASONA MICONAZOL Y GENTAMICINA;1;1073;GRUPO 11
10511091000999116;PREPARADO CON BETAMETASONA Y ACIDO SALICILICO;4;1077;GRUPO 11
6978791000999117;PREPARADO CON BETAMETASONA Y CIANOCOBALAMINA;1;1078;GRUPO 11
10692711000999113;PREPARADO CON BETAMETASONA Y CLORANFENICOL;2;1080;GRUPO 11
10384251000999116;PREPARADO CON BETAMETASONA Y CLOTRIMAZOL;3;1083;GRUPO 11
10315091000999117;PREPARADO CON BETAMETASONA Y DICLOFENAC;2;1085;GRUPO 11
6978821000999113;PREPARADO CON BETAMETASONA Y DICLOFENACO;1;1086;GRUPO 11
10381211000999115;PREPARADO CON BETAMETASONA Y GENTAMICINA;8;1094;GRUPO 11
10327811000999117;PREPARADO CON BETAMETASONA Y LORATADINA;5;1099;GRUPO 11
10383751000999112;PREPARADO CON BETAMETASONA Y MICONAZOL;5;1104;GRUPO 12
10382851000999112;PREPARADO CON BETAMETASONA Y NEOMICINA;3;1107;GRUPO 12
10433911000999114;PREPARADO CON BETAMETASONA, HIDROXOCOBALAMINA Y DICLOFENAC;1;1108;GRUPO 12
10325661000999113;PREPARADO CON BETANECOL;2;1110;GRUPO 12
8307201000999114;PREPARADO CON BETAXOLOL;2;1112;GRUPO 12
6912071000999114;PREPARADO CON BEVACIZUMAV;2;1114;GRUPO 12
7177081000999116;PREPARADO CON BEZAFIBRATO;1;1115;GRUPO 12
10418681000999111;PREPARADO CON BEZAZEPRIL;3;1118;GRUPO 12
8289401000999112;PREPARADO CON BICALUTAMIDA;1;1119;GRUPO 12
10452591000999118;PREPARADO CON BICARBONATO DE SODIO;12;1131;GRUPO 12
10847001000999113;PREPARADO CON BICARBONATO DE SODIO CLORURO DE POTASIO Y CLORURO DE SODIO;2;1133;GRUPO 12
10841361000999117;PREPARADO CON BICARBONATO DE SODIO Y ACIDO CITRICO;2;1135;GRUPO 12
10425951000999111;PREPARADO CON BICARBONATO DE SODIO Y CARBONATO DE CALCIO;2;1137;GRUPO 12
10700181000999114;PREPARADO CON BICARBONATO DE SODIO Y GLUCOSA;1;1138;GRUPO 12
11083141000999115;PREPARADO CON BICARBONATO DE SODIO, CARBONATO DE SODIO Y CAFEINA;1;1139;GRUPO 12
6912121000999114;PREPARADO CON BICARBONATO SODIO;3;1142;GRUPO 12
7164101000999111;PREPARADO CON BICARBONATO SODIO Y METIONINA;1;1143;GRUPO 12
7191161000999113;PREPARADO CON BIFEMELANO;1;1144;GRUPO 12
10948831000999118;PREPARADO CON BIFONAZOL;3;1147;GRUPO 12
10521871000999115;PREPARADO CON BIMATOPROST;2;1149;GRUPO 12
10471721000999115;PREPARADO CON BIOFLAVONOIDES Y EXTRACTO DE AJO;1;1150;GRUPO 12
10468401000999116;PREPARADO CON BIOFLAVONOIDES Y FUCUS;1;1151;GRUPO 12
10402881000999111;PREPARADO CON BIOTINA;7;1158;GRUPO 12
6908231000999119;PREPARADO CON BIPERIDENO;3;1161;GRUPO 12
10308391000999110;PREPARADO CON BISACODILO;1;1162;GRUPO 12
10457681000999119;PREPARADO CON BISACODILO Y DIOCTILSULFOSUCCINATO DE SODIO;1;1163;GRUPO 12
10476201000999111;PREPARADO CON BISACODILO Y DOCUSATO SODICO;1;1164;GRUPO 12
7164011000999110;PREPARADO CON BISMUTO TRIPOTASICO DICITRATO;1;1165;GRUPO 12
8332091000999116;PREPARADO CON BISMUTO Y PECTINA;6;1171;GRUPO 12
7157521000999111;PREPARADO CON BISOPROLOL;4;1175;GRUPO 12
10441211000999119;PREPARADO CON BISOPROLOL E HIDROCLOROTIAZIDA;5;1180;GRUPO 12
10582871000999117;PREPARADO CON BISULFITO SODICO DE MENADIONA;1;1181;GRUPO 12
6912191000999111;PREPARADO CON BLEOMICINA;1;1182;GRUPO 12
7191221000999112;PREPARADO CON BOLDO Y ALCACHOFA;4;1186;GRUPO 12
10455101000999114;PREPARADO CON BOLDO Y BELLADONA;1;1187;GRUPO 12
10475681000999112;PREPARADO CON BOLDO Y CARQUEJA;1;1188;GRUPO 12
10476681000999118;PREPARADO CON BOLDO, CARQUEJA Y ALCACHOFA;1;1189;GRUPO 12
10522751000999113;PREPARADO CON BORATO DE SODIO;6;1195;GRUPO 12
6950121000999119;PREPARADO CON BORTEZOMIB;1;1196;GRUPO 12
10322061000999110;PREPARADO CON BOSENTAN;1;1197;GRUPO 12
8283191000999110;PREPARADO CON BRIMONIDINA;2;1199;GRUPO 12
11037831000999119;PREPARADO CON BRIMONIDINA Y TIMOLOL;2;1201;GRUPO 12
10515571000999111;PREPARADO CON BRINZOLAMIDA;1;1202;GRUPO 13
10881531000999114;PREPARADO CON BRINZOLAMIDA Y TIMOLOL;1;1203;GRUPO 13
7232721000999115;PREPARADO CON BRIVUDINA;1;1204;GRUPO 13
7140941000999110;PREPARADO CON BROMAZEPAM;3;1207;GRUPO 13
10329881000999119;PREPARADO CON BROMAZEPAM Y SIMETICONA;1;1208;GRUPO 13
7140921000999116;PREPARADO CON BROMAZEPAM Y VERALIPRIDA;1;1209;GRUPO 13
10454641000999116;PREPARADO CON BROMFENIRAMINA Y PARACETAMOL;1;1210;GRUPO 13
6912551000999110;PREPARADO CON BROMHEXINA;16;1226;GRUPO 13
11098611000999117;PREPARADO CON BROMHEXINA Y BENCIDAMINA;1;1227;GRUPO 13
11106181000999113;PREPARADO CON BROMHEXINA Y BUTETAMATO;1;1228;GRUPO 13
11100731000999110;PREPARADO CON BROMHEXINA Y CLOFEDANOL;5;1233;GRUPO 13
10432901000999115;PREPARADO CON BROMHEXINA Y ERITROMICINA;3;1236;GRUPO 13
7140691000999110;PREPARADO CON BROMHEXINA Y OXELADINA;1;1237;GRUPO 13
10443861000999116;PREPARADO CON BROMHEXINA Y PARACETAMOL;5;1242;GRUPO 13
10443071000999116;PREPARADO CON BROMHEXINA Y TRIMETOPRIMA;4;1246;GRUPO 13
10313761000999111;PREPARADO CON BROMOCRIPTINA;2;1248;GRUPO 13
7138401000999115;PREPARADO CON BROMPERIDOL;7;1255;GRUPO 13
11030161000999116;PREPARADO CON BROMURO DE IPRATROPIO;1;1256;GRUPO 13
10558341000999113;PREPARADO CON BROMURO DE IPRATROPIO Y FENOTEROL;1;1257;GRUPO 13
7138491000999114;PREPARADO CON BROMURO DE OTILONIO;1;1258;GRUPO 13
10695191000999114;PREPARADO CON BROMURO DE ROCURONIO;1;1259;GRUPO 13
10333251000999114;PREPARADO CON BROMURO DE TIOTROPIO;2;1261;GRUPO 13
7257961000999113;PREPARADO CON BROMURO IPRATROPIO;5;1266;GRUPO 13
7138741000999114;PREPARADO CON BROMURO PINAVERIO;1;1267;GRUPO 13
8373371000999114;PREPARADO CON BROMURO PIRIDOSTIGMINA ;2;1269;GRUPO 13
7163951000999114;PREPARADO CON BROMURO PROPANTELINA Y BROMAZEPAM;1;1270;GRUPO 13
6977821000999114;PREPARADO CON BROMURO VECURONIO;2;1272;GRUPO 13
10409851000999112;PREPARADO CON BRUMURO DE IPRATROPIO Y FENOTEROL;2;1274;GRUPO 13
7269841000999119;PREPARADO CON BUDESONIDA;25;1299;GRUPO 13
10408121000999116;PREPARADO CON BUDESONIDA Y FORMOTEROL;8;1307;GRUPO 13
10999431000999116;PREPARADO CON BUFEXAMAC;1;1308;GRUPO 14
7140231000999114;PREPARADO CON BUFLOMEDIL;4;1312;GRUPO 14
7140331000999119;PREPARADO CON BUFLOMEDIL Y DIOSMINA;1;1313;GRUPO 14
10413481000999118;PREPARADO CON BUMETANIDA;1;1314;GRUPO 14
6907691000999117;PREPARADO CON BUPIVACAINA;7;1321;GRUPO 14
10667481000999110;PREPARADO CON BUPIVACAINA HIPERBARICA;1;1322;GRUPO 14
7017281000999113;PREPARADO CON BUPIVACAINA Y EPINEFRINA;1;1323;GRUPO 14
6908331000999114;PREPARADO CON BUPRENORFINA;5;1328;GRUPO 14
8279951000999113;PREPARADO CON BUPROPION;3;1331;GRUPO 14
10325611000999110;PREPARADO CON BUSPIRONA;2;1333;GRUPO 14
10315411000999119;PREPARADO CON BUSULFANO;4;1337;GRUPO 14
8637991000999112;PREPARADO CON BUTAMIRATO;2;1339;GRUPO 14
10892041000999118;PREPARADO CON BUTANO Y PENTANO;1;1340;GRUPO 14
7137941000999113;PREPARADO CON BUTETAMATO;2;1342;GRUPO 14
10896071000999112;PREPARADO CON BUTOXIDO DE PIPERONILO Y BIOALETRINA;1;1343;GRUPO 14
10367341000999117;PREPARADO CON BUTOXIDO DE PIPERONILO Y DECAMETRINA;2;1345;GRUPO 14
11089231000999117;PREPARADO CON BUTOXIDO DE PIPERONILO Y TRANS ALETRINA;1;1346;GRUPO 14
8283911000999116;PREPARADO CON CABERGOLINA;4;1350;GRUPO 14
10705321000999119;PREPARADO CON CAFEINA;3;1353;GRUPO 14
10519251000999119;PREPARADO CON CAFEINA CITRATO;2;1355;GRUPO 14
10278721000999110;PREPARADO CON CAFEINA Y ACETANILIDA;1;1356;GRUPO 14
6927811000999115;PREPARADO CON CAFEINA Y BENZOATO SODIO;1;1357;GRUPO 14
10329401000999112;PREPARADO CON CAFEINA Y ERGOTAMINA;1;1358;GRUPO 14
10700361000999119;PREPARADO CON CAFEINA Y MEPIRAMINA;1;1359;GRUPO 14
10700721000999111;PREPARADO CON CAFEINA Y NITROGLICERINA;1;1360;GRUPO 14
10421501000999118;PREPARADO CON CAFEINA Y VITAMINA E;1;1361;GRUPO 14
11004451000999112;PREPARADO CON CALAMINA Y OXIDO DE ZINC;3;1364;GRUPO 14
10269291000999115;PREPARADO CON CALCIFEDIOL;2;1366;GRUPO 14
7158171000999119;PREPARADO CON CALCIO;1;1367;GRUPO 14
10456471000999117;PREPARADO CON CALCIO Y MAGNESIO;2;1369;GRUPO 14
10466761000999113;PREPARADO CON CALCIO Y VITAMINA D 3;2;1371;GRUPO 14
10896451000999112;PREPARADO CON CALCIPOTRIOL;2;1373;GRUPO 14
10584101000999114;PREPARADO CON CALCIPOTRIOL Y BETAMETASONA;1;1374;GRUPO 14
10356791000999115;PREPARADO CON CALCITONINA;5;1379;GRUPO 14
6877431000999118;PREPARADO CON CALCITRIOL;3;1382;GRUPO 14
10595721000999118;PREPARADO CON CALENDULA Y ALANTOINA;4;1386;GRUPO 14
7192621000999117;PREPARADO CON CANDESARTAN;3;1389;GRUPO 14
10778701000999114;PREPARADO CON CANDESARTAN CILEXETIL Y FELODIPINA;4;1393;GRUPO 14
7128621000999113;PREPARADO CON CANTAXANTINA;1;1394;GRUPO 14
10631851000999117;PREPARADO CON CAOLIN;1;1395;GRUPO 14
9584401000999118;PREPARADO CON CAPECITABINA;2;1397;GRUPO 14
10591991000999116;PREPARADO CON CAPREOMICINA;1;1398;GRUPO 14
6877571000999116;PREPARADO CON CAPROATO HIDROXIPROGESTERONA;1;1399;GRUPO 14
10589771000999119;PREPARADO CON CAPSAICINA;2;1401;GRUPO 14
10420141000999118;PREPARADO CON CAPTOPRIL;2;1403;GRUPO 15
8257201000999110;PREPARADO CON CARBAMAZEPINA;5;1408;GRUPO 15
10346341000999112;PREPARADO CON CARBETOCINA;1;1409;GRUPO 15
8287071000999119;PREPARADO CON CARBINOXAMINA;3;1412;GRUPO 15
11101671000999114;PREPARADO CON CARBINOXAMINA Y CLORURO DE AMONIO;1;1413;GRUPO 15
11063601000999114;PREPARADO CON CARBINOXAMINA Y OXELADINA;1;1414;GRUPO 15
10440211000999112;PREPARADO CON CARBOCISTEINA;6;1420;GRUPO 15
10381081000999115;PREPARADO CON CARBOMERO;3;1423;GRUPO 15
6928691000999112;PREPARADO CON CARBON ACTIVADO;6;1429;GRUPO 15
10435751000999111;PREPARADO CON CARBON ACTIVADO Y METILBROMURO DE HOMATROPINA;1;1430;GRUPO 15
10328421000999114;PREPARADO CON CARBON ACTIVADO Y SIMETICONA;2;1432;GRUPO 15
7140191000999117;PREPARADO CON CARBONATO CALCIO;5;1437;GRUPO 15
10706451000999113;PREPARADO CON CARBONATO DE CALCIO;6;1443;GRUPO 15
10460151000999110;PREPARADO CON CARBONATO DE CALCIO E HIDROXIDO DE MAGNESIO;1;1444;GRUPO 15
10475591000999111;PREPARADO CON CARBONATO DE CALCIO E ISOFLAVONES;1;1445;GRUPO 15
10455331000999117;PREPARADO CON CARBONATO DE CALCIO Y CARBONATO DE MAGNESIO;1;1446;GRUPO 15
10328891000999113;PREPARADO CON CARBONATO DE CALCIO Y COLECALCIFEROL;5;1451;GRUPO 15
10415591000999117;PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL;7;1458;GRUPO 15
8310711000999117;PREPARADO CON CARBONATO DE CALCIO Y FIBRA DIETARIA;1;1459;GRUPO 15
10468621000999111;PREPARADO CON CARBONATO DE CALCIO Y GLICINA;1;1460;GRUPO 15
10316761000999118;PREPARADO CON CARBONATO DE CALCIO Y GLUCONATO DE CALCIO;1;1461;GRUPO 15
10452881000999118;PREPARADO CON CARBONATO DE CALCIO Y MONOFLUORFOSFATO DE SODIO;2;1463;GRUPO 15
10426101000999118;PREPARADO CON CARBONATO DE CALCIO Y VITAMINA C;4;1467;GRUPO 15
10467791000999115;PREPARADO CON CARBONATO DE CALCIO Y VITAMINA D3;1;1468;GRUPO 15
10308011000999115;PREPARADO CON CARBONATO DE LITIO;3;1471;GRUPO 15
11115351000999114;PREPARADO CON CARBONATO DE SODIO;1;1472;GRUPO 15
6878141000999119;PREPARADO CON CARBOPLATINO;3;1475;GRUPO 15
12433011000999118;PREPARADO CON CARBOPOL Y CETRIMIDA;1;1476;GRUPO 15
11190371000999111;PREPARADO CON CARBOXIMETILCELULOSA SODICA Y GLICERINA;2;1478;GRUPO 15
8280511000999115;PREPARADO CON CARISOPRODOL;2;1480;GRUPO 15
8306651000999113;PREPARADO CON CARMELOSA;6;1486;GRUPO 15
10524521000999117;PREPARADO CON CARMELOSA Y GLICEROL;1;1487;GRUPO 15
6878221000999116;PREPARADO CON CARMUSTINA;1;1488;GRUPO 15
6937661000999115;PREPARADO CON CARNITINA;7;1495;GRUPO 15
10423011000999110;PREPARADO CON CARNITINA Y COLINA;1;1496;GRUPO 15
10456131000999112;PREPARADO CON CARNITINA Y CROMO TRIPICOLINATO;1;1497;GRUPO 15
10472151000999116;PREPARADO CON CARNITINA Y GOMA GUTTA;2;1499;GRUPO 15
10472991000999112;PREPARADO CON CAROTENO;1;1500;GRUPO 15
10475601000999116;PREPARADO CON CARQUEJA;2;1502;GRUPO 16
7157551000999115;PREPARADO CON CARTEOLOL;3;1505;GRUPO 16
10420771000999114;PREPARADO CON CARTILAGO DE TIBURON;7;1512;GRUPO 16
7195501000999116;PREPARADO CON CARTILAGO DE TIBURON E HIDRATOS DE CARBONO;1;1513;GRUPO 16
10464521000999119;PREPARADO CON CARTILAGO DE TIBURON Y VITAMINA D;1;1514;GRUPO 16
7195331000999118;PREPARADO CON CARTILAGO TIBURON Y GLUCOSAMINA SULFATO;1;1515;GRUPO 16
7160101000999117;PREPARADO CON CARVEDILOL;11;1526;GRUPO 16
10454411000999117;PREPARADO CON CARVEDILOL E HIDROCLOROTIAZIDA;1;1527;GRUPO 16
10434741000999113;PREPARADO CON CASCARA SAGRADA;1;1528;GRUPO 16
10433051000999114;PREPARADO CON CASCARA SAGRADA Y ALCACHOFA;1;1529;GRUPO 16
10455001000999110;PREPARADO CON CASCARA SAGRADA Y ALOE VERA;1;1530;GRUPO 16
10441941000999113;PREPARADO CON CASCARA SAGRADA Y BISACODILO;1;1531;GRUPO 16
10433601000999119;PREPARADO CON CASCARA SAGRADA Y FENOLFTALEINA;3;1534;GRUPO 16
10466431000999110;PREPARADO CON CASCARA SAGRADA Y PICOSULFATO DE SODIO;1;1535;GRUPO 16
7168651000999113;PREPARADO CON CASEINATO DE CALCIO;2;1537;GRUPO 16
6879121000999115;PREPARADO CON CASPOFUNGINA;2;1539;GRUPO 16
7145141000999119;PREPARADO CON CASTAÑA DE INDIAS Y BIOFLAVONOIDES;1;1540;GRUPO 16
10423081000999116;PREPARADO CON CASTAÑO DE INDIAS;2;1542;GRUPO 16
11061071000999110;PREPARADO CON CASTAÑO DE INDIAS Y RUTOSIDO;1;1543;GRUPO 16
10416651000999115;PREPARADO CON CEFACLOR;4;1547;GRUPO 16
6879391000999116;PREPARADO CON CEFADROXILO;8;1555;GRUPO 16
6879561000999117;PREPARADO CON CEFALEXINA;12;1567;GRUPO 16
6879651000999118;PREPARADO CON CEFALOTINA;2;1569;GRUPO 16
6879681000999113;PREPARADO CON CEFAZOLINA;2;1571;GRUPO 16
6879711000999114;PREPARADO CON CEFEPIMA;2;1573;GRUPO 16
8289171000999112;PREPARADO CON CEFIXIMA;7;1580;GRUPO 16
6879981000999118;PREPARADO CON CEFOPERAZONA;2;1582;GRUPO 16
6880011000999111;PREPARADO CON CEFOPERAZONA Y SULBACTAM;1;1583;GRUPO 16
6880061000999114;PREPARADO CON CEFOTAXIMA;4;1587;GRUPO 16
6880141000999114;PREPARADO CON CEFOXITINA;3;1590;GRUPO 16
6880181000999116;PREPARADO CON CEFTAZIDIMA;2;1592;GRUPO 16
10420651000999114;PREPARADO CON CEFTIBUTENO;1;1593;GRUPO 16
6880321000999118;PREPARADO CON CEFTRIAXONA;5;1598;GRUPO 16
6880361000999111;PREPARADO CON CEFUROXIMA;8;1606;GRUPO 17
6938001000999111;PREPARADO CON CEFUROXIMA Y ACETILCISTEINA;2;1608;GRUPO 17
8280761000999112;PREPARADO CON CELECOXIB;2;1610;GRUPO 17
7147051000999110;PREPARADO CON CENTELLA ASIATICA;7;1617;GRUPO 17
10471771000999119;PREPARADO CON CENTELLA ASIATICA TE VERDE Y PIRIDOXINA;1;1618;GRUPO 17
7147511000999118;PREPARADO CON CENTELLA ASIATICA Y ALGAS MARINAS;1;1619;GRUPO 17
7147271000999111;PREPARADO CON CENTELLA ASIATICA Y FUCUS;2;1621;GRUPO 17
12965331000999115;PREPARADO CON CERTOLIZUMAB PEGOL;1;1622;GRUPO 17
8281091000999113;PREPARADO CON CETIRIZINA;3;1625;GRUPO 17
10420901000999118;PREPARADO CON CETIRIZINA Y PSEDOEFEDRINA;1;1626;GRUPO 17
11034311000999112;PREPARADO CON CETRIMIDA;3;1629;GRUPO 17
6881541000999111;PREPARADO CON CETRORELIX;2;1631;GRUPO 17
8311831000999110;PREPARADO CON CETUXIMAB;3;1634;GRUPO 17
6881581000999118;PREPARADO CON CIANOCOBALAMINA;4;1638;GRUPO 17
10467391000999119;PREPARADO CON CIANOCOBALAMINA LEVOGLUTAMIDA Y GINSENG;1;1639;GRUPO 17
10488501000999118;PREPARADO CON CIANOCOBALAMINA Y ADEMETIONINA;1;1640;GRUPO 17
10441661000999118;PREPARADO CON CIANOCOBALAMINA Y GINSENG;1;1641;GRUPO 17
10426181000999114;PREPARADO CON CIANOCOBALAMINA Y LEVOGLUTAMIDA;2;1643;GRUPO 17
6938221000999110;PREPARADO CON CIANOCOBALAMINA Y PROCAINA;2;1645;GRUPO 17
10418991000999118;PREPARADO CON CIANOCOBALAMINA, LEVOGLUTAMIDA Y TRIPTOFANO;1;1646;GRUPO 17
10833191000999110;PREPARADO CON CICLESONIDA;4;1650;GRUPO 17
6882331000999116;PREPARADO CON CICLOFOSFAMIDA;3;1653;GRUPO 17
10558691000999112;PREPARADO CON CICLOPENTOLATO;1;1654;GRUPO 17
10871371000999112;PREPARADO CON CICLOPIROX;5;1659;GRUPO 17
6883221000999116;PREPARADO CON CICLOSPORINA;7;1666;GRUPO 17
6883291000999119;PREPARADO CON CIDOFOVIR;1;1667;GRUPO 17
8277471000999115;PREPARADO CON CILOSTAZOL;2;1669;GRUPO 17
10447171000999111;PREPARADO CON CILOSTAZOL Y ACIDO ACETILSALICILICO;2;1671;GRUPO 17
6883331000999113;PREPARADO CON CIMETIDINA;1;1672;GRUPO 17
10466121000999116;PREPARADO CON CIMICIFUGA RACEMOSA;2;1674;GRUPO 17
11165891000999111;PREPARADO CON CINACALCET;2;1676;GRUPO 17
10305491000999113;PREPARADO CON CINARIZINA;4;1680;GRUPO 17
10446441000999110;PREPARADO CON CINARIZINA Y DIHIDROERGOTOXINA;3;1683;GRUPO 17
7169201000999118;PREPARADO CON CINARIZINA Y DOBESILATO CALCIO;1;1684;GRUPO 17
10420601000999110;PREPARADO CON CINARIZINA Y GABAPENTINA;1;1685;GRUPO 17
7169121000999118;PREPARADO CON CINARIZINA Y VINCAMINA;1;1686;GRUPO 17
10439211000999116;PREPARADO CON CINC;4;1690;GRUPO 17
10425431000999112;PREPARADO CON CINC Y ACIDO ASCORBICO;8;1698;GRUPO 17
10424841000999116;PREPARADO CON CINC Y BETACAROTENO;1;1699;GRUPO 17
10419611000999112;PREPARADO CON CINC Y CALCIO;1;1700;GRUPO 17
10903791000999112;PREPARADO CON CINC Y CLORURO DE BENZALCONIO;2;1702;GRUPO 18
10425761000999110;PREPARADO CON CINC Y COBRE;1;1703;GRUPO 18
10434271000999113;PREPARADO CON CINC Y COLECALCIFEROL;1;1704;GRUPO 18
11109901000999114;PREPARADO CON CINC Y LINCOMICINA;1;1705;GRUPO 18
10452581000999116;PREPARADO CON CINC Y PIRIDOXINA;1;1706;GRUPO 18
10448691000999115;PREPARADO CON CINC Y RETINOL;1;1707;GRUPO 18
10266501000999118;PREPARADO CON CINC Y VITAMINA E;10;1717;GRUPO 18
11044701000999114;PREPARADO CON CINCOCAINA Y FLUOCORTOLONA;1;1718;GRUPO 18
11032471000999116;PREPARADO CON CINCOCAINA Y FLUOROCORTOLONA;2;1720;GRUPO 18
7160351000999115;PREPARADO CON CINITAPRIDA;1;1721;GRUPO 18
10388511000999112;PREPARADO CON CIPROFIBRATO;1;1722;GRUPO 18
6883841000999114;PREPARADO CON CIPROFLOXACINA;21;1743;GRUPO 18
10545501000999111;PREPARADO CON CIPROFLOXACINA E HIDROCORTISONA;2;1745;GRUPO 18
