Sustancias_Clave	Sustancias_Descripcion
5484	Levocetirizina
5485	Everolimús
5486	Olmesartán medoximil
5487	Clotiazepam
5493	Pregabalina
5494	Coriogonadotropina alfa
5496	Licopeno
5499	Licor amonio anís
5500	Especies pectorales extracto fluido
5569	Cetrorelix
5572	Atosiban
5686	Luteína
5688	Ciclesonida
5693	Lactobacillus casei
5892	Miglustat
5894	Daptomicina
5895	Frovatriptán
5896	Emtricitabina
5904	Exenatida
5905	Entecavir
5906	Omalizumab
5908	Azacitidina
5911	Cefdinir
5916	Tigeciclina
5929	Nepafenac
5931	Vacuna contra rotavirus
5932	Electrolitos
5933	Copolímero metilvinil éter
5934	Extramel
5942	Soja isoflavones
6004	Anidulafungina
6005	Bivalirudina
6006	Bosentano
6008	Erlotinib
6018	Vareniclina
6020	Eflornitina
6021	Pegfilgrastim
6027	Deferasirox
6028	Eptacog alfa (activado)
6029	Shiitake extracto de
6030	Darunavir
6031	Dasatinib
6034	Decitabina
6035	Eszopiclona
6039	Sorafenib
6040	Sunitinib
6041	Treprostinil sódico
6042	Rasagilina
6043	Palonosetrón
6045	Lenalidomida
6047	Abatacept
6048	Ivabradina
6068	Probióticos
6069	Factor recombinante humano
6072	Acetil hexapéptido-3
6074	Concentrado de cerebrolysin
6076	Trichogen
6077	5-alfa-avocuta
6078	Boswellia
6079	Fitoesteroles
6080	Sitagliptina
6089	Lapatinib
6091	Aliskiren
6100	Temsirolimús
6103	Dextrina de trigo
6104	Retapamulina
6106	Ranibizumab
6107	Estroncio ranelato
6113	Cafeisilano
6114	Vacuna tetravalente
6120	Metilo aminolevulinato
6121	Lactobacillus plantarum
6123	Zeaxantina
6125	Linoleico ácido conjugado
6126	Curcuma longa
6127	Aminolevulínico ácido
6128	Insulina análoga
6130	Selenio disulfuro
6131	Pelargonium sidoides extracto
6137	Armodafinilo
6138	Etravirina
6139	Ixabepilona
6149	Maraviroc
6151	Vildagliptina
6153	Nilotinib
6154	Raltegravir
6155	Trabectedina
6157	Atovacuona
6161	Dabigatrán etexilato
6166	Glycine max
6167	Lactobacillus reuteri
6170	Tinosorb M
6171	Tinosorb S
6172	Complejos bicarbonatados
6173	Nitrógeno como propelente
6174	Azahar
6176	Folitropina alfa
6177	Symphytum officinale L.
6180	Rivaroxabán
6181	Metoxipolietilenglicol-epoetina beta
6182	Hierro sacarosa
6183	Vacuna antivirus papiloma humano
6184	Insulina glulisina
6185	Aceite de nuez de coco nucifera
6191	Agomelatina
6192	Tocilizumab
6193	Proguanilo
6194	Menotropina altamente purificada
6217	Dienogest
6218	Polifenoles de uva
6219	Desvenlafaxina
6225	Carbetocina
6236	Ustekinumab
6257	Cranberry extracto
6264	Saxagliptina
6266	Flavonoides
6267	Asiático ácido
6275	Amarillo de mercurio óxido
6277	Siloxano
6294	Pazopanib
6297	Eltrombopag
6313	Lacosamida
6336	Drospirenona
6340	Astaxantina
6341	Antileukina-6
6342	Losartán potásico
6343	Bioecolia
6347	Undecilenato ácido
6348	Cuasia amara
6349	Indacaterol
6357	Palta
6361	Peginterferón alfa-2a
6362	Etifoxina
6366	Triglicérido caprílico
6369	Proteína de suero
6370	Acidos grasos poliinsaturados de cadena larga
6371	Proteína de suero y TCM hidrolizado
6372	Lactobacillus rhamnosus
6373	Pinus pinaster
6387	Laropiprant
6388	Prebióticos
6389	Fingolimod
