COD_PRINCIPIO_ACTIVO	PRINCIPIO_ACTIVO
3118	DERIVADO DE TOLUIDINA
3119	SUGAMMADEX
3123	BUPROPION
3125	DOXILAMINA
3142	VALSARTAN
3144	PIPERACILINA_TAZOBACTAM
3147	IOXITALAMATO DE MEGLUMINA
3167	ALMIDON MAIZ
3168	ALOE
3169	TIROTROFINA ALFA
3173	METIMAZOL
3174	TIGECICLINA
3175	INMUNOGLOBULINA
3176	TIMOLOL MALEATO
3177	DEXAMETASONA_TOBRAMICINA
3181	TOBRAMICINA
3184	LECHE BAJA EN LACTOSA
3185	TOLBUTAMIDA
3188	OBIDOXIMA CLORURO
3203	UREA
3204	TRIAMTERENO_HIDROCLOROTIAZIDA
3206	ALFUZOSINA
3207	VORICONAZOL
3209	VANCOMICINA
3221	SILDENAFIL
3222	ACIDO POLIACRILICO
3224	DICLOFENACO DIETILAMINA
3241	CREMA_VARIOS
3263	PIRIDOXINA_AC GLUTAMICO_AC GAMAAMINOBUTIRICO
3281	PROTEINAS_CARBOHIDRATOS
3284	HAMAMELIS
3288	SOTALOL
3293	HISTOACRYL
3296	INDOCIANINA
3301	RALTEGRAVIR
3302	TRIAMCINOLONA
3309	TEST KIT
3311	ACIDOS GRASOS HIPEROXIGENADOS
3321	TRIGLICERIDOS CADENA MEDIA
3322	TENECTEPLASA
3328	SORAFENIB
3329	OLMESARTAN_HIDROCLOROTIAZIDA
3342	COMPONENTES LECHE_VITAMINAS_PROBIOTICOS
3343	MALTODEXTRINA
3344	LAURILETERSULFATO SODIO
3362	BISABOLOL_GLICERINA_UREA
3442	RESINA BENJUI
3443	VASELINA
3466	ATORVASTATINA
3467	GLUCOSA_CLORURO SODIO_CLORURO POTASIO
3468	IODOFORMO
3469	DIMETICONA
3470	ALCOHOL_ESENCIAS
3482	ATOVACUONA_PROGUANIL
3484	ANIDULAFUNGINA
3486	GUANETIDINA
3488	GAMAGLOBULINA
3492	TOXINA BOTULINICA
3502	COBRE
3503	LIPIDOS
3504	FENOL
3505	ARANDANO
3521	APOMORFINA
3522	AMISULPIRIDA
3523	AZITROMICINA
3525	OXIDO NITRICO
3527	TERLIPRESINA
3534	INDACATEROL
3535	CLORURO ENDRONFOLIO_ATROPINA SULFATO
3581	IMATINIB
9984	VIBRIO CHOLERAE CEPA INACTIVADA
10001	VIRUS PAPILOMA HUMANO TIPO 16 Y 18
10004	ANTIGENO SUPERFICIE HEPATITIS B
10006	VIRUS INACTIVADO HEPATITIS A
10008	TOXOIDE DIFTERICO_TOXOIDE TETANICO_ANTIGENO D VIRUS POLIO TIPO 1, 2 Y 3_BORDETELLA PERTUSSIS_ HAEMOPHILUS INFLUENZAE
10010	VIRUS ROTAVIRUS ATENUADOS HUMANOS
10012	ANTIGENO SUPERFICIE HEPATITIS A Y B
10014	VIRUS ATENUADO VARICELA ZOSTER
10016	VIRUS PAPILOMA HUMANO TIPO 6,11,16 Y 18
10017	SALMONELLA TYPHI POLIOSIDO CAPSULAR PURIFICADO
10019	STREPTOCOCCUS PNEUMONIAE POLIOSIDOS PURIFICADOS
10021	POLISACARIDO MENINGOCOCICO CONJUGADO
10023	VACUNA LIOFILIZADA ANTIRRABICA
10025	VIRUS INFLUENZA ATENUADO
10027	POLISACARIDO NEUMOCOCICO_HAEMOPHILUS INFLUENZAE PROTEINA D
10030	ANATOXINA TETANICA PURIFICADA
10032	POLISACARIDO PURIFICADO NEISSERIA MENINGITIDIS A Y C
10035	TOXOIDE DIFTERICO_TETANICO_PERTUSICO_HAEMOPHILUS INFLUENZAE B
10036	VIRUS POLIO ATENUADO
10039	VIRUS HAEMOPHILUS INFLUENZAE TIPO B_PROTEINA TETANICA
10040	TOXOIDE TETANICO_DIFTERIA_PERTUSSIS
10043	VIRUS LIOFILIZADO FIEBRE AMARILLA
10321	ARNICAMONTINA_VITAM K
10562	NATALIZUMAB
10582	MONOETANOLAMINA
10585	CARBOHIDRATOS
10601	CALCIO CLORURO_ FOSFATO SODIO
10621	ALUMINIO_ALC ETILICO
10641	MITOTANE
10681	VITAMINA D3
10703	BILIS_BOLDO_COLINA_INOSITOL_PANCREAT_MENADIONA
10721	L CISTEINA Y OTROS
10722	PANCREATINA_DIMETICONA
