Productos_Clave	Productos_Descripcion	Importancia	Sustancias_Clave	Sustancias_Descripcion
2012	OVUKALEN	9	2855	Helonias
2012	OVUKALEN	9	2856	Hydrastis canadensis L.
2012	OVUKALEN	9	2931	Caléndula extracto
2018	OXSORALEN	0	1041	Metoxaleno
2028	PAIDOVIT	1	65	Ascórbico ácido
2028	PAIDOVIT	2	654	Vitamina A
2028	PAIDOVIT	3	1570	Ergocalciferol
2030	PALTOMIEL	1	199	Eucaliptol
2030	PALTOMIEL	2	2697	Palto extracto
2030	PALTOMIEL	3	2700	Miel
2032	PANADOL	0	740	Paracetamol
2034	PANCRIT	1	171	Alantoína
2034	PANCRIT	2	1934	Cetilpiridinio
2036	PANGASTREN	1	480	Metoclopramida
2036	PANGASTREN	2	1291	Simeticona
2040	PANSULFOX BAR	0	599	Benzoílo peróxido
2045	PANTOMICINA	0	1577	Eritromicina
2049	PAPAVERINA CLORHIDRATO 4%	0	714	Papaverina
2050	PAPENZIMA	0	718	Papaína
2051	PARACETAMOL	0	740	Paracetamol
2054	PARACETAMOL	0	740	Paracetamol
2055	PARACETAMOL	0	740	Paracetamol
2056	PARACETAMOL L.CH.	0	740	Paracetamol
2060	PARALYMPHINE	9	169	Yodo
2060	PARALYMPHINE	9	777	Calcio fosfato
2060	PARALYMPHINE	9	2451	Grindelia tintura
2060	PARALYMPHINE	9	2753	Hierro fosfato
2060	PARALYMPHINE	9	3027	Manganeso glicerofosfato
2063	PARLODEL	0	2078	Bromocriptina
2071	PASTA LASSAR	1	306	Lanolina
2071	PASTA LASSAR	2	889	Cinc
2071	PASTA LASSAR	3	1486	Vaselina
2072	PASTA LASSAR	1	306	Lanolina
2072	PASTA LASSAR	2	889	Cinc
2072	PASTA LASSAR	3	1486	Vaselina
2073	PAVEDAL	0	484	Metolazona
2074	PAXON	0	1840	Buspirona
2076	PECTOKAST	9	512	Tomillo esencia
2076	PECTOKAST	9	1334	Sodio salicilato
2076	PECTOKAST	9	2391	Ipecacuana
2076	PECTOKAST	9	2782	Orozuz extracto
2076	PECTOKAST	9	2857	Sodio bromuro
2076	PECTOKAST	9	2917	Aesculus hippocastanum L.
2078	PECTORAL PASTEUR	9	311	Amonio cloruro
2078	PECTORAL PASTEUR	9	1299	Sodio benzoato
2078	PECTORAL PASTEUR	9	1923	Drosera
2078	PECTORAL PASTEUR	9	2782	Orozuz extracto
2083	PEDIALYTE	9	414	Magnesio cloruro
2083	PEDIALYTE	9	762	Calcio cloruro
2083	PEDIALYTE	9	977	Potasio cloruro
2083	PEDIALYTE	9	1146	Dextrosa
2083	PEDIALYTE	9	1306	Sodio cloruro
2083	PEDIALYTE	9	2830	Sodio lactato
2084	PEDIAPROFEN	0	128	Ibuprofeno
2085	PEDIASURE	9	65	Ascórbico ácido
2085	PEDIASURE	9	97	Fólico ácido
2085	PEDIASURE	9	117	Oleico ácido
2085	PEDIASURE	9	155	Inositol
2085	PEDIASURE	9	210	Alfa tocoferol
2085	PEDIASURE	9	414	Magnesio cloruro
2085	PEDIASURE	9	574	Nicotinamida
2085	PEDIASURE	9	654	Vitamina A
2085	PEDIASURE	9	777	Calcio fosfato
2085	PEDIASURE	9	791	Pantoténico ácido
2085	PEDIASURE	9	836	Piridoxina
2085	PEDIASURE	9	872	Cianocobalamina
2085	PEDIASURE	9	889	Cinc
2085	PEDIASURE	9	977	Potasio cloruro
2085	PEDIASURE	9	1056	Colina
2085	PEDIASURE	9	1259	Riboflavina
2085	PEDIASURE	9	1372	Taurina
2085	PEDIASURE	9	1404	Tiamina
2085	PEDIASURE	9	1805	Manganeso sulfato
2085	PEDIASURE	9	1926	Carnitina
2085	PEDIASURE	9	1952	Cobre sulfato
2085	PEDIASURE	9	2069	Fitomenadiona
2085	PEDIASURE	9	2070	Sacarosa
2085	PEDIASURE	9	2136	Vitamina D3
2085	PEDIASURE	9	2219	Aceite de coco
2085	PEDIASURE	9	2308	Hierro sulfato
2085	PEDIASURE	9	2310	Biotina
2085	PEDIASURE	9	2361	Potasio citrato
2085	PEDIASURE	9	2496	Potasio yoduro
2085	PEDIASURE	9	2589	Aceite de soja
2085	PEDIASURE	9	2671	Sodio caseinato
2085	PEDIASURE	9	2764	Sodio molibdato
2085	PEDIASURE	9	2802	Potasio fosfato
2085	PEDIASURE	9	2819	Sodio selenio
2085	PEDIASURE	9	2822	Carragenina
2085	PEDIASURE	9	2895	Lecitina
2093	PENICILINA G BENZATINA L.CH.	0	752	Penicilina G benzatínica
2095	PENICILINA G SODICA L.CH.	0	756	Penicilina G sódica
2102	PENSULAN	9	254	Aluminio hidróxido
2102	PENSULAN	9	525	Bacitracina
2102	PENSULAN	9	553	Neomicina
2102	PENSULAN	9	889	Cinc
2114	PERACON	1	366	Lisina
2114	PERACON	2	906	Ciproheptadina
2114	PERACON	3	1926	Carnitina
2115	PEREBRON	0	2557	Oxolamina
2116	PERENTERYL	0	1271	Saccharomyces boulardii
2117	PERFUNGOL	1	1019	Clorocresol
2117	PERFUNGOL	2	574	Nicotinamida
2117	PERFUNGOL	2	889	Cinc
2117	PERFUNGOL	3	1054	Colesterol
2117	PERFUNGOL	3	2316	Bórico ácido
2133	PILOCARPINA	0	783	Pilocarpina
2136	PILOGEL HS	0	783	Pilocarpina
2138	PIPORTYL L-4	0	808	Pipotiazina
2141	PIRETANYL	1	2465	Clorfeniramina
2141	PIRETANYL	2	1785	Dipirona
2141	PIRETANYL	3	735	Cafeína
2142	PIRIDOXINA CLORHIDRATO	0	836	Piridoxina
2145	PIROFLAM	0	1164	Diclofenac
2146	PIRONAL	0	128	Ibuprofeno
2147	PIROXICAM	0	919	Piroxicam
2151	PIROXICAM	0	919	Piroxicam
2152	PIROXICAM L.CH.	0	919	Piroxicam
2156	PLATSUL A	9	654	Vitamina A
2156	PLATSUL A	9	1354	Sulfadiazina
2156	PLATSUL A	9	1570	Ergocalciferol
2156	PLATSUL A	9	3029	Dimecaína
2159	PLEXUS	1	616	Betametasona
2159	PLEXUS	2	2465	Clorfeniramina
2160	PLOMUROL 1% EMULSION	0	353	Lindano
2161	PLOMUROL 1% SHAMPOO	0	353	Lindano
2170	POLEN MELIFER	9	497	Minerales
2170	POLEN MELIFER	9	1233	Proteínas
2170	POLEN MELIFER	9	1443	Aminoácidos
2170	POLEN MELIFER	9	1514	Vitaminas
2170	POLEN MELIFER	9	1760	Glúcidos
2174	POLIVIDONA YODADA	0	985	Povidona yodada
2176	POLIVIDONA YODADA	0	985	Povidona yodada
2177	POLIVIDONA YODADA	0	985	Povidona yodada
2181	POLIVITAMINICO L.CH.	9	65	Ascórbico ácido
2181	POLIVITAMINICO L.CH.	9	97	Fólico ácido
2181	POLIVITAMINICO L.CH.	9	574	Nicotinamida
2181	POLIVITAMINICO L.CH.	9	654	Vitamina A
2181	POLIVITAMINICO L.CH.	9	791	Pantoténico ácido
2181	POLIVITAMINICO L.CH.	9	836	Piridoxina
2181	POLIVITAMINICO L.CH.	9	1259	Riboflavina
2181	POLIVITAMINICO L.CH.	9	1404	Tiamina
2181	POLIVITAMINICO L.CH.	9	1570	Ergocalciferol
2189	POMADA ALCANFORADA	1	194	Alcanfor
2189	POMADA ALCANFORADA	2	1486	Vaselina
2190	POMADA ALCANFORADA	0	194	Alcanfor
2194	POMADA AZUFRADA 6%	0	389	Azufre
2196	POMADA SALICILADA	0	473	Metilo salicilato
2197	POMADA SALICILATO DE METILO AL 5%	0	473	Metilo salicilato
2199	POMADA VITAMINICA	9	578	Benzalconio cloruro
2199	POMADA VITAMINICA	9	654	Vitamina A
2199	POMADA VITAMINICA	9	715	Pantenol
2199	POMADA VITAMINICA	9	794	Calcitriol
2199	POMADA VITAMINICA	9	889	Cinc
2203	POTASIO CLORURO	0	977	Potasio cloruro
2204	POTASIO GLUCONATO L.CH.	0	978	Potasio gluconato
2210	PRAGMATEN	0	1637	Fluoxetina
2211	PRAVACOL	0	2560	Pravastatín
2213	PRAYANOL	0	262	Amantadina
2215	PRED FORTE	0	993	Prednisolona
2218	PREDNISONA L.CH.	0	998	Prednisona
2220	PREDSOLETS	0	993	Prednisolona
2221	PREDUAL	1	740	Paracetamol
2221	PREDUAL	2	2001	Mepiramina
2221	PREDUAL	3	2811	Pamabrom
2224	PREGNYL	0	1764	Gonadotropina coriónica humana
2234	PRIMIDONA L.CH.	0	1003	Primidona
2244	PROCTO GLYVENOL	1	346	Lidocaína
2244	PROCTO GLYVENOL	2	1453	Tribenósido
2245	PRODASONE	0	442	Medroxiprogesterona
2246	PRODEL	0	2465	Clorfeniramina
2248	PROFENID	0	241	Ketoprofeno
2250	PROFISIN	1	996	Clordiazepóxido
2250	PROFISIN	2	1157	Diciclomina
2253	PROGESTERONA OLEOSA L.CH.	0	1033	Progesterona
2257	PROLOPA	0	2631	Levodopa + benserazida
2258	PROLOPA HBS	0	2631	Levodopa + benserazida
2262	PROPANOLOL	0	2493	Propanolol
2264	PROPRANOLOL L.CH.	0	2493	Propanolol
2266	PROPARACAINA L.CH.	0	1218	Proparacaína
2269	PROPILTIOURACILO	0	2080	Propiltiouracilo
2270	PROPILTIOURACILO L.CH.	0	2080	Propiltiouracilo
2273	ENFAMIL SOYA PREMIUM	9	105	Linoleico ácido
2273	ENFAMIL SOYA PREMIUM	9	253	Lípidos
2273	ENFAMIL SOYA PREMIUM	9	479	Metionina
2273	ENFAMIL SOYA PREMIUM	9	1233	Proteínas
2273	ENFAMIL SOYA PREMIUM	9	1754	Glucosa
2273	ENFAMIL SOYA PREMIUM	9	1760	Glúcidos
2276	PROVIRON	0	2002	Mesterolona
2278	PRURIX LOCION	1	194	Alcanfor
2278	PRURIX LOCION	2	449	Mentol
2279	PSICOLIT	0	379	Litio carbonato
2281	PULMAGOL	9	1049	Codeína
2281	PULMAGOL	9	1299	Sodio benzoato
2281	PULMAGOL	9	1547	Efedrina
2281	PULMAGOL	9	1923	Drosera
2281	PULMAGOL	9	2761	Lobelia
2285	PURID	0	122	Pipemídico ácido
2286	PURINETHOL	0	2081	Mercaptopurina
2292	QUINIDINA SULFATO L.CH.	0	1915	Quinidina
2293	QUITACALLOS	1	131	Salicílico ácido
2293	QUITACALLOS	2	2268	Amilo acetato
2299	RAMISTOS	9	538	Belladona
2299	RAMISTOS	9	1049	Codeína
2299	RAMISTOS	9	1923	Drosera
2299	RAMISTOS	9	2451	Grindelia tintura
2299	RAMISTOS	9	2748	Bromoformo
2299	RAMISTOS	9	2761	Lobelia
2301	RANITAX INYECTABLE	0	1249	Ranitidina
2303	RANITIDINA	0	1249	Ranitidina
2306	RANITIDINA	0	1249	Ranitidina
2307	RANITIDINA L.CH.	0	1249	Ranitidina
2309	RAPIDOL	0	740	Paracetamol
2311	RAVOTRIL	0	961	Clonazepam
2315	RED OFF	0	522	Nafazolina
2321	REGENTAL	0	584	Nimodipina
2323	REHSAL	9	575	Cloro
2323	REHSAL	9	962	Potasio
2323	REHSAL	9	1292	Sodio
2323	REHSAL	9	1754	Glucosa
2328	REPARIVEN GEL	1	7	Heparinoide
2328	REPARIVEN GEL	2	1171	Dietilamina salicilato
2328	REPARIVEN GEL	3	1583	Escina
2342	RETROVIR AZT	0	1780	Zidovudina
2344	REVIL	9	65	Ascórbico ácido
2344	REVIL	9	574	Nicotinamida
2344	REVIL	9	836	Piridoxina
2344	REVIL	9	906	Ciproheptadina
2344	REVIL	9	1259	Riboflavina
2344	REVIL	9	1404	Tiamina
2345	REVIL B12	9	65	Ascórbico ácido
2345	REVIL B12	9	574	Nicotinamida
2345	REVIL B12	9	654	Vitamina A
2345	REVIL B12	9	794	Calcitriol
2345	REVIL B12	9	836	Piridoxina
2345	REVIL B12	9	872	Cianocobalamina
2345	REVIL B12	9	906	Ciproheptadina
2345	REVIL B12	9	1259	Riboflavina
2345	REVIL B12	9	1404	Tiamina
2352	RHUS OPODELDOC KNOP	9	194	Alcanfor
2352	RHUS OPODELDOC KNOP	9	512	Tomillo esencia
2352	RHUS OPODELDOC KNOP	9	2065	Romero esencia
2352	RHUS OPODELDOC KNOP	9	2859	Rhus toxicodendron
2353	RIBOFLAVINA	0	1259	Riboflavina
2356	RIFADIN	0	1261	Rifampicina
2358	RINOBANEDIF	9	525	Bacitracina
2358	RINOBANEDIF	9	553	Neomicina
2358	RINOBANEDIF	9	1517	Xilometazolina
2358	RINOBANEDIF	9	2780	Antazolina
2359	RINOLERGAN	1	1695	Fenilefrina
2359	RINOLERGAN	2	2001	Mepiramina
2359	RINOLERGAN	3	2465	Clorfeniramina
2360	RINOMEX	1	396	Loratadina
2360	RINOMEX	2	2062	Seudoefedrina
2364	RITALIN	0	2008	Metilfenidato
2365	RITMOCARDYL	0	293	Amiodarona
2366	RITMOCOR	0	2086	Propafenona
2367	ROACNETAN	0	225	Isotretinoína
2369	ROCALTROL	0	794	Calcitriol
2370	RODEPAN	9	65	Ascórbico ácido
2370	RODEPAN	9	574	Nicotinamida
2370	RODEPAN	9	836	Piridoxina
2370	RODEPAN	9	906	Ciproheptadina
2370	RODEPAN	9	1259	Riboflavina
2370	RODEPAN	9	1404	Tiamina
2372	ROKAN	0	1735	Ginkgo biloba
2381	ROWACHOL	9	199	Eucaliptol
2381	ROWACHOL	9	449	Mentol
2381	ROWACHOL	9	2704	Canfeno
2381	ROWACHOL	9	2705	Borneol
2381	ROWACHOL	9	2709	Aceite de oliva
2381	ROWACHOL	9	4505	Mentona
2382	ROWATINEX	9	199	Eucaliptol
2382	ROWATINEX	9	2704	Canfeno
2382	ROWATINEX	9	2705	Borneol
2382	ROWATINEX	9	2706	Anetol
2382	ROWATINEX	9	2707	Fenchona
2382	ROWATINEX	9	2709	Aceite de oliva
2385	RUMALON	1	2201	Cartílago extracto
2385	RUMALON	2	1736	Médula ósea extracto
2394	SACARINA	0	1269	Sacarina sódica
2398	SAL DIETETICA	0	977	Potasio cloruro
2404	SALBUTAMOL	0	1272	Salbutamol
2405	SALBUTAMOL	0	1272	Salbutamol
2406	SALBUTAMOL	0	1272	Salbutamol
2407	SALBUTAMOL L.CH.	0	1272	Salbutamol
2409	SALCAL	0	1595	Fenproporex
2410	T.R.O. SALES REHIDRATANTES	9	977	Potasio cloruro
2410	T.R.O. SALES REHIDRATANTES	9	1305	Sodio citrato
2410	T.R.O. SALES REHIDRATANTES	9	1306	Sodio cloruro
2410	T.R.O. SALES REHIDRATANTES	9	1754	Glucosa
2415	SALUBION	9	62	Aminoacético ácido
2415	SALUBION	9	65	Ascórbico ácido
2415	SALUBION	9	81	Vitamina B12
2415	SALUBION	9	97	Fólico ácido
2415	SALUBION	9	169	Yodo
2415	SALUBION	9	210	Alfa tocoferol
2415	SALUBION	9	405	Magnesio
2415	SALUBION	9	412	Magnesio carbonato
2415	SALUBION	9	574	Nicotinamida
2415	SALUBION	9	654	Vitamina A
2415	SALUBION	9	777	Calcio fosfato
2415	SALUBION	9	791	Pantoténico ácido
2415	SALUBION	9	836	Piridoxina
2415	SALUBION	9	889	Cinc
2415	SALUBION	9	1259	Riboflavina
2415	SALUBION	9	1265	Rutina
2415	SALUBION	9	1314	Sodio fluoruro
2415	SALUBION	9	1404	Tiamina
2415	SALUBION	9	1427	Titanio
2415	SALUBION	9	1715	Fósforo
2415	SALUBION	9	1805	Manganeso sulfato
2415	SALUBION	9	1816	Menadiona
2415	SALUBION	9	1952	Cobre sulfato
2415	SALUBION	9	2136	Vitamina D3
2415	SALUBION	9	2153	Paraaminobenzoico ácido
2415	SALUBION	9	2308	Hierro sulfato
2415	SALUBION	9	2496	Potasio yoduro
2415	SALUBION	9	2764	Sodio molibdato
2415	SALUBION	9	2765	Níquel sulfato
2421	SANIGERMIN	0	2126	Irgasán
2423	SANODERM CREMA	9	171	Alantoína
2423	SANODERM CREMA	9	654	Vitamina A
2423	SANODERM CREMA	9	889	Cinc
2423	SANODERM CREMA	9	1570	Ergocalciferol
2425	SASTID JABON	1	131	Salicílico ácido
2425	SASTID JABON	2	389	Azufre
2427	SCADAN	0	2465	Clorfeniramina
2429	SCOPANIL	1	1227	Propinoxato
2429	SCOPANIL	2	1785	Dipirona
2432	SEDANTOL	1	1152	Diazepam
2432	SEDANTOL	2	2084	Clormezanona
2433	SEDATIVAL FP	0	236	Ketazolam
2437	SELECTOL	0	2087	Celiprolol
2438	SELGINA	0	2624	Selegilina
2442	SEPTRIN	0	704	Sulfametoxazol + trimetoprima
2444	SEREVENT INHALADOR	0	2223	Salmeterol
2445	SERMION	0	568	Nicergolina
2448	SICADOL FORTE	0	107	Mefenámico ácido
2470	SIN-ALGIN	1	740	Paracetamol
2470	SIN-ALGIN	2	2084	Clormezanona
2474	SINPASMON	1	796	Pipenzolato bromuro
2474	SINPASMON	2	1565	Fenobarbital
2475	SINTOFTONA	1	967	Cloranfenicol
2475	SINTOFTONA	2	993	Prednisolona
2477	SIPIRAC GEL	0	1159	Diclofenac dietilamina
2478	SIRDALUD	0	1428	Tizanidina
2479	SIRIDONE	0	887	Cinarizina
2483	SLOW K	0	977	Potasio cloruro
2485	SOCIAN	0	296	Amisulprida
2487	SODIO CLORURO	0	1306	Sodio cloruro
2495	SOLIN	0	346	Lidocaína
2496	SOLU-MEDROL	0	477	Metilprednisolona
2498	SOLUCION DETERGENTE	0	1326	Sodio laurilsulfato
2503	SOLU-CORTEF	0	25	Hidrocortisona
2506	SOMESE	0	1452	Triazolam
2507	SOSTAC	0	1637	Fluoxetina
2510	SPECTRABAN ULTRA 30	9	1560	Octilo metoxicinamato
2510	SPECTRABAN ULTRA 30	9	1859	Oxibenzona
2510	SPECTRABAN ULTRA 30	9	2029	Titanio dióxido
2510	SPECTRABAN ULTRA 30	9	2459	Escalol 507
2512	SPERTI (PREPARATION H)	1	1979	Levadura de cerveza
2512	SPERTI (PREPARATION H)	2	2504	Fenilmercurio nitrato
2512	SPERTI (PREPARATION H)	3	2582	Aceite de hígado de tiburón
2513	SPLENDIL	0	2057	Felodipino
2514	SPORANOX	0	230	Itraconazol
2522	STUGERON	0	887	Cinarizina
2530	SULFADIAZINA L.CH.	0	1354	Sulfadiazina
2539	SULFATO DE MAGNESIO	0	430	Magnesio sulfato
2540	SULFATO DE ZINC	0	889	Cinc
2542	SULFATO FERROSO L.CH.	0	2308	Hierro sulfato
2547	SULOTIL RETARD	0	576	Nifedipina
2548	SULPERAZON	1	1351	Sulbactam
2548	SULPERAZON	2	2171	Cefoperazona
2549	SULPILAN	0	1364	Sulpirida
2550	SULPILAN FORTE	0	1364	Sulpirida
2556	SUPOSITORIOS GLICERINA	0	1745	Glicerina
2557	SUPOSITORIOS HAMAMELIS	1	1583	Escina
2557	SUPOSITORIOS HAMAMELIS	2	1776	Hamamelis
2559	SUPRADYN GRAGEAS	9	65	Ascórbico ácido
2559	SUPRADYN GRAGEAS	9	81	Vitamina B12
2559	SUPRADYN GRAGEAS	9	85	Hierro
2559	SUPRADYN GRAGEAS	9	97	Fólico ácido
2559	SUPRADYN GRAGEAS	9	210	Alfa tocoferol
2559	SUPRADYN GRAGEAS	9	405	Magnesio
2559	SUPRADYN GRAGEAS	9	434	Manganeso
2559	SUPRADYN GRAGEAS	9	654	Vitamina A
2559	SUPRADYN GRAGEAS	9	741	Calcio
2559	SUPRADYN GRAGEAS	9	791	Pantoténico ácido
2559	SUPRADYN GRAGEAS	9	836	Piridoxina
2559	SUPRADYN GRAGEAS	9	1259	Riboflavina
2559	SUPRADYN GRAGEAS	9	1570	Ergocalciferol
2559	SUPRADYN GRAGEAS	9	2310	Biotina
2559	SUPRADYN GRAGEAS	9	2655	Molibdeno
2564	SUSTAGEN	9	65	Ascórbico ácido
2564	SUSTAGEN	9	81	Vitamina B12
2564	SUSTAGEN	9	85	Hierro
2564	SUSTAGEN	9	97	Fólico ácido
2564	SUSTAGEN	9	210	Alfa tocoferol
2564	SUSTAGEN	9	253	Lípidos
2564	SUSTAGEN	9	405	Magnesio
2564	SUSTAGEN	9	434	Manganeso
2564	SUSTAGEN	9	574	Nicotinamida
2564	SUSTAGEN	9	575	Cloro
2564	SUSTAGEN	9	654	Vitamina A
2564	SUSTAGEN	9	741	Calcio
2564	SUSTAGEN	9	791	Pantoténico ácido
2564	SUSTAGEN	9	889	Cinc
2564	SUSTAGEN	9	962	Potasio
2564	SUSTAGEN	9	1046	Cobre
2564	SUSTAGEN	9	1233	Proteínas
2564	SUSTAGEN	9	1259	Riboflavina
2564	SUSTAGEN	9	1292	Sodio
2564	SUSTAGEN	9	1404	Tiamina
2564	SUSTAGEN	9	1570	Ergocalciferol
2564	SUSTAGEN	9	1715	Fósforo
2564	SUSTAGEN	9	1760	Glúcidos
2569	SYNACTHEN DEPOT	0	114	Hormona adrenocorticotrópica hipofisaria
2571	SYNDOL	0	245	Ketorolac
2572	SYNTOCINON	0	1345	Oxitocina
2574	TABLETAS PHILLIPS	9	254	Aluminio hidróxido
2574	TABLETAS PHILLIPS	9	420	Magnesio hidróxido
2574	TABLETAS PHILLIPS	9	760	Calcio carbonato
2574	TABLETAS PHILLIPS	9	1342	Sorbitol
2578	TALCO MENTOLADO AL 2%	0	449	Mentol
2581	TAMBOCOR	0	1609	Flecainida
2582	TAMOXIFENO	0	1370	Tamoxifeno
2584	TANSTON	0	107	Mefenámico ácido
2590	TARDYFERON	1	97	Fólico ácido
2590	TARDYFERON	2	2308	Hierro sulfato
2590	TARDYFERON	3	2743	Mucoproteasa
2595	TAVOR	0	1614	Fluconazol
2596	TAXUS	0	1370	Tamoxifeno
2597	DDAVP	0	1122	Desmopresina
2598	TEARS NATURALE	1	78	Hidroxipropilmetilcelulosa
2598	TEARS NATURALE	2	1139	Dextrán
2601	TEGRETAL	0	801	Carbamazepina
2606	TELUGREN	0	1039	Clotrimazol
2607	TELUGREN PLUS	1	1039	Clotrimazol
2607	TELUGREN PLUS	2	1127	Dexametasona
2612	TENSODOX	0	873	Ciclobenzaprina
2614	TENSOLIV	1	930	Clidinio
2614	TENSOLIV	2	996	Clordiazepóxido
2624	TESTOSTERONA ENANTATO L.CH.	0	1387	Testosterona
2628	TETRACICLINA	0	1394	Tetraciclina
2631	TETRACICLINA L.CH.	0	1394	Tetraciclina
2639	TIAMINA L.CH.	0	1404	Tiamina
2643	TIENAM	0	4731	Imipenem + cilastatina
2647	TILAZEM	0	1201	Diltiazem
2649	TILDIEM	0	1201	Diltiazem
2652	TIMOLOL MALEATO L.CH.	0	1417	Timolol
2654	TINIDAZOL L.CH.	0	1418	Tinidazol
2655	TINIDAZOL COMPUESTO L.CH.	1	493	Miconazol
2655	TINIDAZOL COMPUESTO L.CH.	2	1418	Tinidazol
2662	TINTURA DE VALERIANA	0	2665	Valeriana officinalis L.
2664	TINTURA DE YODO	0	169	Yodo
2665	TINTURA DE VALERIANA	0	2665	Valeriana officinalis L.
2666	TIOF	0	1417	Timolol
2668	TIORIDAZINA	0	1422	Tioridazina
2671	TOBRADEX	1	1127	Dexametasona
2671	TOBRADEX	2	1429	Tobramicina
2673	TOBREX	0	1429	Tobramicina
2678	TOL TOTAL	9	65	Ascórbico ácido
2678	TOL TOTAL	9	81	Vitamina B12
2678	TOL TOTAL	9	85	Hierro
2678	TOL TOTAL	9	97	Fólico ácido
2678	TOL TOTAL	9	169	Yodo
2678	TOL TOTAL	9	210	Alfa tocoferol
2678	TOL TOTAL	9	405	Magnesio
2678	TOL TOTAL	9	434	Manganeso
2678	TOL TOTAL	9	574	Nicotinamida
2678	TOL TOTAL	9	654	Vitamina A
2678	TOL TOTAL	9	715	Pantenol
2678	TOL TOTAL	9	741	Calcio
2678	TOL TOTAL	9	791	Pantoténico ácido
2678	TOL TOTAL	9	836	Piridoxina
2678	TOL TOTAL	9	889	Cinc
2678	TOL TOTAL	9	962	Potasio
2678	TOL TOTAL	9	1046	Cobre
2678	TOL TOTAL	9	1259	Riboflavina
2678	TOL TOTAL	9	1404	Tiamina
2678	TOL TOTAL	9	1715	Fósforo
2678	TOL TOTAL	9	2136	Vitamina D3
2678	TOL TOTAL	9	2310	Biotina
2678	TOL TOTAL	9	2655	Molibdeno
2679	TOL 12 FORTE	1	81	Vitamina B12
2679	TOL 12 FORTE	2	836	Piridoxina
2679	TOL 12 FORTE	3	1404	Tiamina
2680	TOL 12 ORAL	1	81	Vitamina B12
2680	TOL 12 ORAL	2	836	Piridoxina
2680	TOL 12 ORAL	3	1404	Tiamina
2681	TOLBUTAMIDA	0	1786	Tolbutamida
2682	TOLBUTAMIDA L.CH.	0	1786	Tolbutamida
2685	TOLNAFTATO L.CH.	0	1432	Tolnaftato
2686	TONARIL	0	1465	Trihexifenidilo
2687	TONAVITAL	9	65	Ascórbico ácido
2687	TONAVITAL	9	81	Vitamina B12
2687	TONAVITAL	9	216	Nicotínico ácido
2687	TONAVITAL	9	335	Levoglutamina
2687	TONAVITAL	9	430	Magnesio sulfato
2687	TONAVITAL	9	435	Magnesio hipofosfito
2687	TONAVITAL	9	654	Vitamina A
2687	TONAVITAL	9	791	Pantoténico ácido
2687	TONAVITAL	9	836	Piridoxina
2687	TONAVITAL	9	889	Cinc
2687	TONAVITAL	9	1259	Riboflavina
2687	TONAVITAL	9	1335	Sodio hipofosfito
2687	TONAVITAL	9	1404	Tiamina
2687	TONAVITAL	9	1443	Aminoácidos
2687	TONAVITAL	9	1570	Ergocalciferol
2687	TONAVITAL	9	2069	Fitomenadiona
2687	TONAVITAL	9	2260	Calcio hipofosfito
2687	TONAVITAL	9	2496	Potasio yoduro
2687	TONAVITAL	9	2803	Fosfórico ácido
2690	TONICO PASTEUR	9	65	Ascórbico ácido
2690	TONICO PASTEUR	9	81	Vitamina B12
2690	TONICO PASTEUR	9	574	Nicotinamida
2690	TONICO PASTEUR	9	654	Vitamina A
2690	TONICO PASTEUR	9	791	Pantoténico ácido
2690	TONICO PASTEUR	9	836	Piridoxina
2690	TONICO PASTEUR	9	1259	Riboflavina
2690	TONICO PASTEUR	9	1335	Sodio hipofosfito
2690	TONICO PASTEUR	9	1404	Tiamina
2690	TONICO PASTEUR	9	1570	Ergocalciferol
2690	TONICO PASTEUR	9	2260	Calcio hipofosfito
2690	TONICO PASTEUR	9	2778	Calcio glicerofosfato
2693	TONOPRON FUERTE CON VITAMINA B12	9	81	Vitamina B12
2693	TONOPRON FUERTE CON VITAMINA B12	9	97	Fólico ácido
2693	TONOPRON FUERTE CON VITAMINA B12	9	126	Hígado extracto
2693	TONOPRON FUERTE CON VITAMINA B12	9	155	Inositol
2693	TONOPRON FUERTE CON VITAMINA B12	9	216	Nicotínico ácido
2693	TONOPRON FUERTE CON VITAMINA B12	9	791	Pantoténico ácido
2693	TONOPRON FUERTE CON VITAMINA B12	9	836	Piridoxina
2693	TONOPRON FUERTE CON VITAMINA B12	9	1259	Riboflavina
2693	TONOPRON FUERTE CON VITAMINA B12	9	1404	Tiamina
2693	TONOPRON FUERTE CON VITAMINA B12	9	2153	Paraaminobenzoico ácido
2695	TONOTENSIL	0	372	Lisinopril
2705	TORECAN	0	2110	Tietilperazina
2709	TOXOGONIN	0	2767	Obidoxima cloruro
2710	TRACELYTE (OLIGOELEMENTOS)	0	2455	Oligoelementos
2711	TRACRIUM	0	2114	Atracurio
2713	TRAMAL	0	24	Tramadol
2714	TRANDATE	0	2120	Labetalol
2718	TRANXILIUM	0	974	Clorazepato dipotásico
2720	TRAUMICID	0	2975	Lisina clonixinato
2721	TRENTAL 400	0	769	Pentoxifilina
2726	TRIATEC	0	1248	Ramipril
2727	TRICALMA	0	229	Alprazolam
2729	TRICONIDAZOL	0	1418	Tinidazol
2738	TRINORDIOL	0	4732	Levonorgestrel + etinilestradiol
2739	TRIO VAL	1	740	Paracetamol
2739	TRIO VAL	2	2062	Seudoefedrina
2739	TRIO VAL	3	2465	Clorfeniramina
2740	TRIQUILAR	0	4732	Levonorgestrel + etinilestradiol
