"DESCRIPTIONID_VTM"	"VTM"	"DESCRIPTIONID_VMP"	"VMP"
"10414191000999112"	"PREPARADO CON LACIDIPINO"	"5407181000999112"	"LACIDIPINO 4 MG COMPRIMIDO"
"10414291000999116"	"PREPARADO CON PRAZOSINA"	"10414321000999112"	"PRAZOSINA 5 MG COMPRIMIDO"
"10414291000999116"	"PREPARADO CON PRAZOSINA"	"10414351000999116"	"PRAZOSINA 2 MG COMPRIMIDO"
"10414291000999116"	"PREPARADO CON PRAZOSINA"	"10414371000999113"	"PRAZOSINA 1 MG COMPRIMIDO"
"10414291000999116"	"PREPARADO CON PRAZOSINA"	"6914741000999113"	"PRAZOSINA 1 MG COMPRIMIDOS LIBERACION PROLONGADA"
"10414291000999116"	"PREPARADO CON PRAZOSINA"	"6914761000999112"	"PRAZOSINA 1 MG SELLO"
"10414291000999116"	"PREPARADO CON PRAZOSINA"	"6914941000999111"	"PRAZOSINA 2 MG COMPRIMIDOS LIBERACION PROLONGADA"
"10414391000999114"	"PREPARADO CON NIMORAZOL"	"7003551000999110"	"NIMORAZOL 250 MG COMPRIMIDO"
"10414391000999114"	"PREPARADO CON NIMORAZOL"	"7003711000999115"	"NIMORAZOL 500 MG COMPRIMIDO"
"10414761000999118"	"PREPARADO CON INSULINA NPH BOVINA"	"10414881000999118"	"INSULINA NPH BOVINA 100 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10414761000999118"	"PREPARADO CON INSULINA NPH BOVINA"	"10414891000999115"	"INSULINA NPH BOVINA 80 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10414761000999118"	"PREPARADO CON INSULINA NPH BOVINA"	"10414901000999116"	"INSULINA NPH BOVINA 40 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10414791000999113"	"PREPARADO CON INSULINA BOVINA SOLUBLE"	"10415241000999111"	"INSULINA BOVINA SOLUBLE 100 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10414791000999113"	"PREPARADO CON INSULINA BOVINA SOLUBLE"	"10415261000999110"	"INSULINA BOVINA SOLUBLE 80 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10414791000999113"	"PREPARADO CON INSULINA BOVINA SOLUBLE"	"10415271000999116"	"INSULINA BOVINA SOLUBLE 40 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10414941000999119"	"PREPARADO CON QUINESTROL"	"6918101000999115"	"QUINESTROL 1 MG COMPRIMIDO"
"10415051000999117"	"PREPARADO CON ESTAVUDINA"	"10415311000999116"	"ESTAVUDINA 15 MG COMPRIMIDO"
"10415051000999117"	"PREPARADO CON ESTAVUDINA"	"11081251000999112"	"ESTAVUDINA 1 MG/ML SUSPENSION RECONSTITUIDA EN FRASCO DE 200 ML"
"10415051000999117"	"PREPARADO CON ESTAVUDINA"	"5411821000999111"	"ESTAVUDINA 20 MG CAPSULA"
"10415051000999117"	"PREPARADO CON ESTAVUDINA"	"5411841000999117"	"ESTAVUDINA 30 MG CAPSULA"
"10415051000999117"	"PREPARADO CON ESTAVUDINA"	"5411861000999118"	"ESTAVUDINA 40 MG CAPSULA"
"10415051000999117"	"PREPARADO CON ESTAVUDINA"	"6889231000999116"	"ESTAVUDINA 40 MG SELLO"
"10415101000999117"	"PREPARADO CON IOPODATO DE SODIO"	"5411121000999118"	"IOPODATO SODICO 500 MG CAPSULA"
"10415151000999118"	"PREPARADO CON RIBAVIRINA"	"5411361000999114"	"RIBAVIRINA 200 MG COMPRIMIDO"
"10415171000999110"	"PREPARADO CON TEMOZOLOMIDA"	"5411481000999113"	"TEMOZOLOMIDA 20 MG CAPSULAS"
"10415171000999110"	"PREPARADO CON TEMOZOLOMIDA"	"5411561000999115"	"TEMOZOLOMIDA 100 MG CAPSULAS"
"10415171000999110"	"PREPARADO CON TEMOZOLOMIDA"	"5411581000999112"	"TEMOZOLOMIDA 250 MG CAPSULAS"
"10415171000999110"	"PREPARADO CON TEMOZOLOMIDA"	"9111681000999117"	"TEMOZOLOMIDA 140 MG CAPSULAS"
"10415171000999110"	"PREPARADO CON TEMOZOLOMIDA"	"9111721000999111"	"TEMOZOLOMIDA 180 MG CAPSULAS"
"10415201000999114"	"PREPARADO CON ACETATO DE MEDROXIPROGESTERONA"	"5406771000999112"	"ACETATO MEDROXIPROGESTERONA 10 MG COMPRIMIDO"
"10415491000999116"	"PREPARADO CON TRANILCIPROMINA"	"5413111000999112"	"TRANILCIPROMINA 10 MG COMPRIMIDO"
"10415591000999117"	"PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL"	"6929021000999113"	"CARBONATO CALCIO 1000 MG ERGOCALCIFEROL 250 UINT COMPRIMIDO"
"10415591000999117"	"PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL"	"6929181000999113"	"CARBONATO CALCIO 1250 MG ERGOCALCIFEROL 250 UINT COMPRIMIDO"
"10415591000999117"	"PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL"	"6929191000999111"	"CARBONATO CALCIO 1500 MG ERGOCALCIFEROL 125 UINT COMPRIMIDO"
"10415591000999117"	"PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL"	"6929211000999112"	"CARBONATO CALCIO 1500 MG ERGOCALCIFEROL 2 MG COMPRIMIDO"
"10415591000999117"	"PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL"	"6929221000999117"	"CARBONATO CALCIO 1507 MG ERGOCALCIFEROL 200 UINT COMPRIMIDO"
"10415591000999117"	"PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL"	"6937541000999115"	"CARBONATO CALCIO 500 MG ERGOCALCIFEROL 40 MG COMPRIMIDO"
"10415591000999117"	"PREPARADO CON CARBONATO DE CALCIO Y ERGOCALCIFEROL"	"6937551000999118"	"CARBONATO CALCIO 625 MG ERGOCALCIFEROL 250 MG COMPRIMIDO"
"10415611000999110"	"PREPARADO CON PROCARBAZINA"	"6703341000999119"	"PROCARBAZINA 50 MG CAPSULA"
"10415741000999116"	"PREPARADO CON ACIDO ASCORBICO Y SULFATO DE MAGNESIO"	"6885971000999113"	"ACIDO ASCORBICO 1000 MG SULFATO MAGNESIO 0,06 MG COMPRIMIDO"
"10415851000999112"	"PREPARADO CON CLORAZEPATO Y SULPIRIDA"	"6897021000999119"	"CLORAZEPATO DIPOTASICO 5 MG SULPIRIDA 50 MG COMPRIMIDO"
"10415921000999112"	"PREPARADO CON NEOMICINA Y LOPERAMIDA"	"7002971000999118"	"NEOMICINA 250 MG LOPERAMIDA 2 MG COMPRIMIDO"
"10416031000999115"	"PREPARADO CON DOMPERIDONA Y RANITIDINA"	"11026641000999114"	"RANITIDINA 37,5 MG/5 ML DOMPERIDONA 2,5 MG/5 ML SUSPENSION EN ENVASE DE 200 ML"
"10416031000999115"	"PREPARADO CON DOMPERIDONA Y RANITIDINA"	"7019551000999110"	"DOMPERIDONA 10 MG RANITIDINA 150 MG COMPRIMIDO"
"10416061000999111"	"PREPARADO CON INSULINA NPH PORCINA"	"10416131000999119"	"INSULINA NPH PORCINA 100 UI/ML SOLUCION EN AMPOLLA DE 1,5 ML"
"10416061000999111"	"PREPARADO CON INSULINA NPH PORCINA"	"10416141000999111"	"INSULINA NPH PORCINA 100 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10416061000999111"	"PREPARADO CON INSULINA NPH PORCINA"	"10416321000999115"	"INSULINA NPH PORCINA 40 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10416061000999111"	"PREPARADO CON INSULINA NPH PORCINA"	"10416331000999117"	"INSULINA NPH PORCINA 80 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10416201000999117"	"PREPARADO CON NORTRIPTILINA"	"7004071000999111"	"NORTRIPTILINA 40 MG COMPRIMIDO"
"10416261000999116"	"PREPARADO CON TACRINA"	"6743551000999115"	"TACRINA 10 MG CAPSULA"
"10416261000999116"	"PREPARADO CON TACRINA"	"6743711000999110"	"TACRINA 20 MG CAPSULA"
"10416261000999116"	"PREPARADO CON TACRINA"	"6743741000999114"	"TACRINA 30 MG CAPSULA"
"10416261000999116"	"PREPARADO CON TACRINA"	"6743791000999118"	"TACRINA 40 MG CAPSULA"
"10416471000999114"	"PREPARADO CON INSULINA PORCINA SOLUBLE"	"10416391000999118"	"INSULINA PORCINA SOLUBLE 100 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10416471000999114"	"PREPARADO CON INSULINA PORCINA SOLUBLE"	"10416401000999116"	"INSULINA PORCINA SOLUBLE 100 UI/ML SOLUCION EN AMPOLLA DE 1,5 ML"
"10416471000999114"	"PREPARADO CON INSULINA PORCINA SOLUBLE"	"10416411000999118"	"INSULINA PORCINA SOLUBLE 80 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10416471000999114"	"PREPARADO CON INSULINA PORCINA SOLUBLE"	"10416421000999113"	"INSULINA PORCINA SOLUBLE 40 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10416541000999118"	"PREPARADO CON MONONITRATO DE ISOSORBIDA"	"10416561000999119"	"MONONITRATO DE ISOSORBIDA 40 MG COMPRIMIDO"
"10416541000999118"	"PREPARADO CON MONONITRATO DE ISOSORBIDA"	"6867361000999112"	"MONONITRATO ISOSORBIDE 50 MG COMPRIMIDO LIBERACION MODIFICADA"
"10416541000999118"	"PREPARADO CON MONONITRATO DE ISOSORBIDA"	"6973771000999112"	"MONONITRATO DE ISOSORBIDA 100 MG COMPRIMIDO DE LIBERACION PROLONGADA"
"10416631000999114"	"PREPARADO CON TIAMINA Y RIBOFLAVINA"	"6923521000999116"	"TIAMINA 1,4 MG RIBOFLAVINA 1,6 MG COMPRIMIDO"
"10416631000999114"	"PREPARADO CON TIAMINA Y RIBOFLAVINA"	"6923561000999114"	"TIAMINA 10 MG RIBOFLAVINA 10 MG COMPRIMIDO"
"10416651000999115"	"PREPARADO CON CEFACLOR"	"10416671000999112"	"CEFACLOR 500 MG COMPRIMIDO"
"10416651000999115"	"PREPARADO CON CEFACLOR"	"11094251000999114"	"CEFACLOR 250 MG/5 ML SOLUCION EN ENVASE DE 60 ML"
"10416651000999115"	"PREPARADO CON CEFACLOR"	"11094281000999119"	"CEFACLOR 250 MG/5 ML SOLUCION EN ENVASE DE 100 ML"
"10416651000999115"	"PREPARADO CON CEFACLOR"	"11094321000999112"	"CEFACLOR 375 MG/5 ML SOLUCION EN ENVASE DE 50 ML"
"10416791000999119"	"PREPARADO CON CISAPRIDA Y SIMETICONA"	"11088031000999117"	"CISAPRIDA 10 MG/ML SIMETICONA 200 MG/ML SOLUCION ORAL EN GOTERO DE 30 ML"
"10416791000999119"	"PREPARADO CON CISAPRIDA Y SIMETICONA"	"6886231000999112"	"CISAPRIDA 10 MG SIMETICONA 200 MG COMPRIMIDO"
"10416791000999119"	"PREPARADO CON CISAPRIDA Y SIMETICONA"	"6886321000999115"	"CISAPRIDA 5 MG SIMETICONA 200 MG COMPRIMIDO"
"10416901000999111"	"PREPARADO CON CLOFIBRATO"	"6888431000999112"	"CLOFIBRATO 400 MG COMPRIMIDO"
"10416901000999111"	"PREPARADO CON CLOFIBRATO"	"6888451000999118"	"CLOFIBRATO 500 MG COMPRIMIDO"
"10416961000999112"	"PREPARADO CON DOMPERIDONA Y BROMAZEPAN"	"7019531000999116"	"DOMPERIDONA 10 MG BROMAZEPAM 1,5 MG COMPRIMIDO"
"10416991000999117"	"PREPARADO CON ACIPIMOX"	"6710581000999114"	"ACIPIMOX 250 MG CAPSULA"
"10417021000999115"	"PREPARADO CON LORNOXICAM"	"10487191000999119"	"LORNOXICAM 8 MG LIOFILIZADO EN AMPOLLA"
"10417021000999115"	"PREPARADO CON LORNOXICAM"	"6705851000999110"	"LORNOXICAM 4 MG COMPRIMIDO"
"10417021000999115"	"PREPARADO CON LORNOXICAM"	"6705871000999118"	"LORNOXICAM 8 MG COMPRIMIDO"
"10417571000999110"	"PREPARADO CON INSULINA LENTA PORCINA"	"10417601000999116"	"INSULINA LENTA PORCINA 100 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10417571000999110"	"PREPARADO CON INSULINA LENTA PORCINA"	"10417621000999113"	"INSULINA LENTA PORCINA 80 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10417571000999110"	"PREPARADO CON INSULINA LENTA PORCINA"	"10417631000999111"	"INSULINA LENTA PORCINA 40 UI/ML SOLUCION EN AMPOLLA DE 10 ML"
"10417611000999118"	"PREPARADO CON INDINAVIR"	"6770741000999115"	"INDINAVIR 400 MG CAPSULA"
"10417611000999118"	"PREPARADO CON INDINAVIR"	"6911181000999119"	"INDINAVIR 200 MG CAPSULA"
"10417641000999119"	"PREPARADO CON PARACETAMOL Y ESCOPOLAMINA"	"10521271000999116"	"PARACETAMOL 100 MG/ML, SCOPOLAMINA 2 MG/ML, SOLUCION EN FRASCO GOTERO DE 20 ML"
"10417641000999119"	"PREPARADO CON PARACETAMOL Y ESCOPOLAMINA"	"7008051000999111"	"PARACETAMOL 500 MG ESCOPOLAMINA 10 MG COMPRIMIDO"
"10417731000999115"	"PREPARADO CON PIROXICAM Y CIANOCOBALAMINA"	"7186781000999114"	"PIROXICAM 20 MG CIANOCOBALAMINA 0,5 MG COMPRIMIDO"
"10417771000999117"	"PREPARADO CON INSULINA GLULISINA"	"11082241000999115"	"INSULINA GLULISINA 100 UI/ML SOLUCION EN LAPICERA SOLOSTAR DE 3 ML"
"10417771000999117"	"PREPARADO CON INSULINA GLULISINA"	"11082251000999118"	"INSULINA GLULISINA 100 UI/ML SOLUCION EN LAPICERA OPTISET DE 3 ML"
"10417771000999117"	"PREPARADO CON INSULINA GLULISINA"	"11082301000999112"	"INSULINA GLULISINA 100 UI/ML VIAL DE 10 ML"
"10417781000999119"	"PREPARADO CON FUROSEMIDA Y AMILORIDA"	"10423271000999112"	"FUROSEMIDA 40 MG AMILORIDA 5 MG COMPRIMIDO"
"10417781000999119"	"PREPARADO CON FUROSEMIDA Y AMILORIDA"	"6898091000999116"	"FUROSEMIDA 40 MG AMILORIDA 10 MG COMPRIMIDO"
"10417781000999119"	"PREPARADO CON FUROSEMIDA Y AMILORIDA"	"6898111000999112"	"FUROSEMIDA 40 MG AMILORIDA 20 MG COMPRIMIDO"
"10417841000999118"	"PREPARADO CON DISULFIRAM"	"6705811000999114"	"DISULFIRAM 250 MG COMPRIMIDO"
"10417841000999118"	"PREPARADO CON DISULFIRAM"	"6705831000999116"	"DISULFIRAM 500 MG COMPRIMIDO"
"10417911000999111"	"PREPARADO CON ZAFIRLUKAST"	"6710421000999111"	"ZAFIRLUKAST 20 MG COMPRIMIDO"
"10417921000999116"	"PREPARADO CON LORMETAZEPAM"	"6771221000999113"	"LORMETAZEPAM 1 MG COMPRIMIDO"
"10417921000999116"	"PREPARADO CON LORMETAZEPAM"	"6918551000999113"	"LORMETAZEPAM 2,5 MG COMPRIMIDO"
"10418051000999110"	"PREPARADO CON HIERRO SACARATO"	"10418081000999115"	"HIERRO SACARATO 100 MG/5 ML SOLUCION EN AMPOLLA"
"10418101000999110"	"PREPARADO CON DIAZEPAM Y PAPAINA"	"7000881000999113"	"DIAZEPAM 1 MG PAPAINA 25  MG COMPRIMIDO"
"10418131000999115"	"PREPARADO CON LIOTIRONINA Y MAZINDOL"	"10418191000999116"	"LIOTIRONINA 1 MG MAZINDOL 2,5 MG CAPSULA"
"10418341000999110"	"PREPARADO CON PARACETAMOL E HIDROCODONA"	"7007901000999114"	"PARACETAMOL 500 MG HIDROCODONA 5 MG COMPRIMIDO"
"10418341000999110"	"PREPARADO CON PARACETAMOL E HIDROCODONA"	"7007921000999117"	"PARACETAMOL 500 MG HIDROCORTISONA 10 MG COMPRIMIDO"
"10418341000999110"	"PREPARADO CON PARACETAMOL E HIDROCODONA"	"7008171000999118"	"PARACETAMOL 650 MG HIDROCODONA 7,5 MG COMPRIMIDO"
"10418351000999112"	"PREPARADO CON PARACETAMOL Y VITAMINA C"	"7007071000999115"	"PARACETAMOL 250 MG VITAMINA C 204 MG COMPRIMIDO"
"10418351000999112"	"PREPARADO CON PARACETAMOL Y VITAMINA C"	"7007491000999113"	"PARACETAMOL 325 MG ACIDO ASCORBICO 50 MG COMPRIMIDO"
"10418431000999112"	"PREPARADO CON KETAZOLAM"	"6916501000999110"	"KETAZOLAM 30 MG COMPRIMIDO"
"10418521000999113"	"PREPARADO CON ENTACAPONA"	"6759361000999111"	"ENTACAPONA 200 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10418611000999117"	"VITAMINA E 50 MG VITAMINA C 250 MG CAPSULA"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10418941000999114"	"VITAMINA E 75 MG VITAMINA C 100 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10419391000999110"	"VITAMINA E 100 MG Y VITAMINA C 120 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10423381000999118"	"VITAMINA E 200 MG VITAMINA C 250 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10425881000999110"	"VITAMINA E 200 MG VITAMINA C 100 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10438291000999118"	"VITAMINA E 100 MG ACIDO ASCORBICO 500 MG CAPSULA"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10440391000999113"	"VITAMINA E 100 GR ACIDO ASCORBICO 200 GR CAPSULA"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"10442631000999116"	"VITAMINA E 200 MG ACIDO ASCORBICO 250 MG CAPSULA"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6886551000999116"	"ACIDO ASCORBICO 960 MG VITAMINA E 960 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6928721000999115"	"VITAMINA E 136 MG ACIDO ASCORBICO 200 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6929091000999110"	"VITAMINA E 200 MG AC ASCORBICO 200 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6929201000999114"	"VITAMINA E 200 MG ACIDO ASCORBICO 262,5 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6929441000999112"	"VITAMINA E 25 MG ACIDO ASCORBICO 50 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6929541000999113"	"VITAMINA E 25 UINT ACIDO ASCORBICO 250 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6929571000999118"	"VITAMINA E 3,29 MG ACIDO ASCORBICO 20 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6929641000999114"	"VITAMINA E 30 UINT ACIDO ASCORBICO 600 MG COMPRIMIDO"
"10418551000999117"	"PREPARADO CON VITAMINA E Y VITAMINA C"	"6991311000999110"	"ACIDO ASCORBICO 300 MG VITAMINA E 74 MG COMPRIMIDO LIBERACION MODIFICADA"
"10418581000999112"	"PREPARADO CON HIDROMORFONA"	"6906421000999119"	"CLORHIDRATO HIDROMORFONA 2 MG COMPRIMIDO"
"10418581000999112"	"PREPARADO CON HIDROMORFONA"	"6906441000999113"	"CLORHIDRATO HIDROMORFONA 4 MG COMPRIMIDO"
"10418661000999119"	"PREPARADO CON LETROZOL"	"6999921000999115"	"LETROZOL 2,5 MG COMPRIMIDO"
"10418681000999111"	"PREPARADO CON BEZAZEPRIL"	"6911761000999110"	"BENAZEPRIL 10 MG COMPRIMIDO"
"10418681000999111"	"PREPARADO CON BEZAZEPRIL"	"6911781000999118"	"BENAZEPRIL 20 MG COMPRIMIDO"
"10418681000999111"	"PREPARADO CON BEZAZEPRIL"	"6911791000999115"	"BENAZEPRIL 5 MG COMPRIMIDO"
"10418731000999119"	"PREPARADO CON NAFTIDROFURILO"	"7001121000999113"	"NAFTIDROFURILO 200 MG COMPRIMIDO"
"10418781000999118"	"PREPARADO CON ACEITE DE PESCADO"	"7024541000999116"	"ACEITE DE PESCADO 1 G CAPSULA"
"10418801000999119"	"PREPARADO CON OXATOMIDA"	"11056951000999115"	"OXATOMIDA 25 MG/ML SUSPENSION ORAL EN ENVASE DE 30 ML"
"10418801000999119"	"PREPARADO CON OXATOMIDA"	"11087961000999110"	"OXATOMIDA 12.5 MG/5 ML SUSPENSION ORAL EN ENVASE DE 100 ML"
"10418801000999119"	"PREPARADO CON OXATOMIDA"	"7004271000999118"	"OXATOMIDA 30 MG COMPRIMIDO"
"10418881000999110"	"PREAPRADO CON NILUTAMIDA"	"6743881000999113"	"NILUTAMIDA 150 MG COMPRIMIDO"
"10418911000999110"	"PREPARADO CON ZALEPLON"	"6759751000999110"	"ZALEPLON 10 MG CAPSULAS"
"10418911000999110"	"PREPARADO CON ZALEPLON"	"6930411000999116"	"ZALEPLON 5 MG CAPSULAS"
"10418921000999115"	"PREPARADO CON ACAMPROSATO"	"5399161000999117"	"ACAMPROSATO 333 MG COMPRIMIDO"
"10418991000999118"	"PREPARADO CON CIANOCOBALAMINA, LEVOGLUTAMIDA Y TRIPTOFANO"	"8953491000999113"	"CIANOCOBALAMINA 1 MG, LEVOGLUTAMIDA 150 MG, TRIPTOFANO 100 MG, COMPRIMIDO"
"10419091000999112"	"PREPARADO CON CLORPROPAMIDA"	"6759451000999115"	"CLORPROPAMIDA 250 MG COMPRIMIDO"
"10419091000999112"	"PREPARADO CON CLORPROPAMIDA"	"6898051000999114"	"CLORPROPAMIDA 125 MG COMPRIMIDO"
"10419121000999111"	"PREPARADO CON DEXTROPROPOXIFENO"	"7025861000999116"	"DEXTROPROPOXIFENO 98 MG COMPRIMIDO"
"10419151000999115"	"PREPARADO CON DICLOFENAC Y CIANOCOBALAMINA"	"7018361000999112"	"DICLOFENACO 50 MG CIANOCOBALAMINA 2,5 MG COMPRIMIDO"
"10419311000999118"	"PREPARADO CON ACEMETACINA"	"10419341000999119"	"ACEMETACINA 60 MG COMPRIMIDO"
"10419311000999118"	"PREPARADO CON ACEMETACINA"	"7024601000999117"	"ACEMETACINA 160 MG COMPRIMIDO"
"10419411000999110"	"PREPARADO CON TIABENDAZOL"	"10939591000999114"	"TIABENDAZOL 50 MG/G CREMA EN ENVASE DE 45 GR"
"10419411000999110"	"PREPARADO CON TIABENDAZOL"	"7174041000999115"	"TIABENDAZOL 500 MG COMPRIMIDO"
"10419431000999117"	"PREPARADO CON RIMANTADINA"	"10419451000999111"	"RIMANTADINA 100 MG COMPRIMIDO"
"10419581000999117"	"PREPARADO CON METAZOLAMIDA"	"6718891000999113"	"METAZOLAMIDA 25 MG COMPRIMIDO"
"10419611000999112"	"PREPARADO CON CINC Y CALCIO"	"6954921000999112"	"CINC 25 MG CALCIO 1000 MG COMPRIMIDO"
"10419711000999117"	"PREPARADO CON DOMPERIDONA Y SIMETICONA"	"10437101000999119"	"DOMPERIDONA 10 MG SIMETICONA 80 MG CAPSULA"
"10419711000999117"	"PREPARADO CON DOMPERIDONA Y SIMETICONA"	"11078161000999116"	"DOMPERIDONA 5 MG/ML SIMETICONA 100 MG/ML SOLUCION EN GOTERO DE 15 ML"
"10419711000999117"	"PREPARADO CON DOMPERIDONA Y SIMETICONA"	"7019591000999117"	"DOMPERIDONA 10 MG SIMETICONA 200 MG COMPRIMIDO"
"10419711000999117"	"PREPARADO CON DOMPERIDONA Y SIMETICONA"	"7019641000999114"	"DOMPERIDONA 10 MG SIMETICONA 60 MG COMPRIMIDO"
"10419781000999111"	"PREPARADO CON LINESTRENOL"	"6976951000999112"	"LINESTRENOL 0,5 MG COMPRIMIDO"
"10420141000999118"	"PREPARADO CON CAPTOPRIL"	"10525581000999117"	"CAPTOPRIL 50 MG CAPSULA"
"10420141000999118"	"PREPARADO CON CAPTOPRIL"	"6714681000999117"	"CAPTOPRIL 25 MG COMPRIMIDO"
"10420181000999111"	"PREPARADO CON DEXCLORFENIRAMINA"	"6966581000999115"	"DEXCLORFENIRAMINA 2 MG COMPRIMIDO"
"10420181000999111"	"PREPARADO CON DEXCLORFENIRAMINA"	"6966601000999112"	"DEXCLORFENIRAMINA 6 MG COMPRIMIDO"
"10420221000999115"	"PREPARADO CON MAZINDOL"	"10438961000999117"	"MAZINDOL 3 MG CAPSULA"
"10420221000999115"	"PREPARADO CON MAZINDOL"	"6714881000999118"	"MAZINDOL 2 MG COMPRIMIDO"
"10420221000999115"	"PREPARADO CON MAZINDOL"	"6919041000999114"	"MAZINDOL 1 MG COMPRIMIDO"
"10420321000999114"	"PREPARADO CON SECNIDAZOL"	"10433811000999115"	"SECNIDAZOL 500 MG COMPRIMIDO"
"10420341000999115"	"PREPARADO CON NABUMETONA"	"6715311000999116"	"NABUMETONA 500 MG COMPRIMIDO"
"10420341000999115"	"PREPARADO CON NABUMETONA"	"7001081000999111"	"NABUMETONA 1000 MG COMPRIMIDO"
"10420601000999110"	"PREPARADO CON CINARIZINA Y GABAPENTINA"	"6938251000999119"	"CINARIZINA 75 MG GABAPENTINA 250 MG COMPRIMIDO"
"10420651000999114"	"PREPARADO CON CEFTIBUTENO"	"6715541000999113"	"CEFTIBUTENO 400 MG CAPSULA"
"10420701000999116"	"PREPARADO CON VITAMINA E Y PIRIDOXINA"	"10420721000999113"	"VITAMINA E 300 MG PIRIDOXINA 100 MG CAPSULA"
"10420701000999116"	"PREPARADO CON VITAMINA E Y PIRIDOXINA"	"6913301000999112"	"PIRIDOXINA 2 MG VITAMINA E 30 UINT COMPRIMIDO"
"10420701000999116"	"PREPARADO CON VITAMINA E Y PIRIDOXINA"	"6929941000999118"	"VITAMINA E 5 MG PIRIDOXINA 5 MG COMPRIMIDO"
"10420771000999114"	"PREPARADO CON CARTILAGO DE TIBURON"	"10486961000999114"	"CARTILAGO DE TIBURON 3.5 MG/2 ML SOLUCION EN AMPOLLA"
"10420771000999114"	"PREPARADO CON CARTILAGO DE TIBURON"	"7140901000999113"	"CARTILAGO TIBURON 400 MG COMPRIMIDO"
"10420771000999114"	"PREPARADO CON CARTILAGO DE TIBURON"	"7141021000999110"	"CARTILAGO TIBURON 500 MG COMPRIMIDO"
"10420771000999114"	"PREPARADO CON CARTILAGO DE TIBURON"	"7141121000999111"	"CARTILAGO TIBURON 740 MG COMPRIMIDO"
"10420771000999114"	"PREPARADO CON CARTILAGO DE TIBURON"	"7141151000999115"	"CARTILAGO TIBURON 750 MG COMPRIMIDO"
"10420771000999114"	"PREPARADO CON CARTILAGO DE TIBURON"	"7202461000999113"	"CARTILAGO DE TIBURON 200 MG COMPRIMIDO"
"10420771000999114"	"PREPARADO CON CARTILAGO DE TIBURON"	"7234651000999112"	"CARTILAGO DE TIBURON 1000 MG COMPRIMIDO"
"10420791000999110"	"PREPARADO CON VITAMINA C Y PIRIDOXINA"	"10420781000999112"	"VITAMINA C 200 MG PIRIDOXINA 150 MG COMPRIMIDO"
"10420791000999110"	"PREPARADO CON VITAMINA C Y PIRIDOXINA"	"6885991000999114"	"ACIDO ASCORBICO 125 MG PIRIDOXINA 1 MG COMPRIMIDO"
"10420791000999110"	"PREPARADO CON VITAMINA C Y PIRIDOXINA"	"6886491000999110"	"ACIDO ASCORBICO 500 MG PIRIDOXINA 10 MG COMPRIMIDO"
"10420821000999119"	"PREPARADO CON PROGLUMETACINA"	"10440881000999117"	"PROGLUMETACINA 300 MG, COMPRIMIDO"
