Productos_Clave	Productos_Descripcion	Importancia	AccionesTerapeuticas_Clave	AccionesTerapeuticas_Descripcion
2485	SOCIAN	9	556	Antidistímico
2487	SODIO CLORURO	9	409	Electrolítico
2495	SOLIN	9	328	Anestésico
2496	SOLU-MEDROL	9	94	Corticosteroide
2503	SOLU-CORTEF	9	747	Corticoterapia
2506	SOMESE	9	126	Hipnótico
2507	SOSTAC	9	130	Antidepresivo
2510	SPECTRABAN ULTRA 30	9	549	Protector solar
2512	SPERTI (PREPARATION H)	9	699	Antihemorroidal
2513	SPLENDIL	1	79	Antagonista del calcio
2513	SPLENDIL	9	76	Antihipertensivo
2514	SPORANOX	9	205	Antimicótico de amplio espectro
2522	STUGERON	9	180	Antivertiginoso
2530	SULFADIAZINA L.CH.	9	100	Antiinfeccioso
2539	SULFATO DE MAGNESIO	9	409	Electrolítico
2540	SULFATO DE ZINC	9	522	Complemento nutricional
2542	SULFATO FERROSO L.CH.	9	69	Antianémico
2547	SULOTIL RETARD	1	34	Antianginoso
2547	SULOTIL RETARD	9	76	Antihipertensivo
2548	SULPERAZON	9	91	Antibiótico
2549	SULPILAN	2	130	Antidepresivo
2550	SULPILAN FORTE	1	125	Neuroléptico
2550	SULPILAN FORTE	9	130	Antidepresivo
2556	SUPOSITORIOS GLICERINA	9	17	Laxante
2557	SUPOSITORIOS HAMAMELIS	9	80	Antihemorroides
2559	SUPRADYN GRAGEAS	9	408	Polivitamínico con minerales
2564	SUSTAGEN	9	522	Complemento nutricional
2569	SYNACTHEN DEPOT	9	94	Corticosteroide
2571	SYNDOL	1	118	Analgésico
2571	SYNDOL	2	112	Antiinflamatorio
2571	SYNDOL	3	455	Antipirético no esteroide
2572	SYNTOCINON	9	333	Oxitócico
2574	TABLETAS PHILLIPS	9	2	Antiácido
2578	TALCO MENTOLADO AL 2%	9	178	Antipruriginoso
2581	TAMBOCOR	9	68	Antiarrítmico
2582	TAMOXIFENO	9	562	Antiestrogénico no esteroide
2584	TANSTON	1	118	Analgésico
2584	TANSTON	2	112	Antiinflamatorio
2590	TARDYFERON	9	353	Ferroterapia
2595	TAVOR	9	237	Antimicótico sistémico
2596	TAXUS	9	297	Antiestrogénico
2597	DDAVP	9	392	Antidiurético
2598	TEARS NATURALE	9	41	Lubricante oftálmico
2601	TEGRETAL	1	171	Anticonvulsivo
2601	TEGRETAL	9	119	Antiepiléptico
2606	TELUGREN	9	92	Antimicótico
2607	TELUGREN PLUS	1	229	Antifúngico
2607	TELUGREN PLUS	2	112	Antiinflamatorio
2607	TELUGREN PLUS	9	267	Corticosteroide tópico
2612	TENSODOX	9	465	Relajante musculoesquelético
2614	TENSOLIV	9	5	Antiespasmódico
2624	TESTOSTERONA ENANTATO L.CH.	9	287	Androgenoterapia
2628	TETRACICLINA	9	91	Antibiótico
2631	TETRACICLINA L.CH.	9	91	Antibiótico
2639	TIAMINA L.CH.	9	466	Vitamínico
2643	TIENAM	9	100	Antiinfeccioso
2647	TILAZEM	1	34	Antianginoso
2647	TILAZEM	2	76	Antihipertensivo
2649	TILDIEM	1	79	Antagonista del calcio
2649	TILDIEM	2	34	Antianginoso
2649	TILDIEM	3	68	Antiarrítmico
2649	TILDIEM	9	76	Antihipertensivo
2652	TIMOLOL MALEATO L.CH.	9	268	Antiglaucomatoso
2654	TINIDAZOL L.CH.	9	135	Antiparasitario
2655	TINIDAZOL COMPUESTO L.CH.	1	92	Antimicótico
2655	TINIDAZOL COMPUESTO L.CH.	9	99	Tricomonicida
2662	TINTURA DE VALERIANA	9	127	Sedante
2664	TINTURA DE YODO	9	95	Antiséptico
2665	TINTURA DE VALERIANA	9	127	Sedante
2666	TIOF	9	268	Antiglaucomatoso
2668	TIORIDAZINA	1	224	Ansiolítico
2668	TIORIDAZINA	2	125	Neuroléptico
2668	TIORIDAZINA	9	523	Psicorrelajante
2671	TOBRADEX	1	100	Antiinfeccioso
2671	TOBRADEX	2	313	Antiinflamatorio oftálmico
2673	TOBREX	9	165	Antiinfeccioso oftálmico
2678	TOL TOTAL	9	303	Polivitamínico
2679	TOL 12 FORTE	1	466	Vitamínico
2679	TOL 12 FORTE	9	308	Antineurálgico
2680	TOL 12 ORAL	9	245	Orexígeno
2681	TOLBUTAMIDA	9	419	Hipoglucemiante oral
2682	TOLBUTAMIDA L.CH.	9	419	Hipoglucemiante oral
2685	TOLNAFTATO L.CH.	9	92	Antimicótico
2686	TONARIL	9	123	Antiparkinsoniano
2687	TONAVITAL	9	303	Polivitamínico
2690	TONICO PASTEUR	9	303	Polivitamínico
2693	TONOPRON FUERTE CON VITAMINA B12	9	466	Vitamínico
2695	TONOTENSIL	9	191	Hipotensor
2705	TORECAN	1	10	Antiemético
2705	TORECAN	9	180	Antivertiginoso
2709	TOXOGONIN	9	311	Antídoto de organofosforados
2710	TRACELYTE (OLIGOELEMENTOS)	9	883	Terapia de oligoelementos
2711	TRACRIUM	9	611	Curarizante
2713	TRAMAL	9	118	Analgésico
2714	TRANDATE	9	76	Antihipertensivo
2718	TRANXILIUM	9	965	Ansiolítico selectivo
2720	TRAUMICID	1	118	Analgésico
2720	TRAUMICID	2	112	Antiinflamatorio
2720	TRAUMICID	9	121	Antipirético
2721	TRENTAL 400	1	512	Hemorreológico
2726	TRIATEC	9	76	Antihipertensivo
2727	TRICALMA	1	550	Tranquilizante menor
2727	TRICALMA	9	224	Ansiolítico
2729	TRICONIDAZOL	1	260	Quimioterápico
2729	TRICONIDAZOL	2	26	Antibacteriano
2729	TRICONIDAZOL	9	135	Antiparasitario
2738	TRINORDIOL	9	491	Anticonceptivo oral
2739	TRIO VAL	9	174	Antigripal
2740	TRIQUILAR	9	30	Anticonceptivo oral trifásico
2742	TRITTICO	9	130	Antidepresivo
2750	TROLIT	9	254	Anovulatorio
2755	TURBOVIT	9	631	Multivitamínico con minerales
2758	TUSIGEN	1	179	Antitusivo
2758	TUSIGEN	9	141	Descongestivo
2760	TYPHIM VI	9	511	Inmunización antitífica
2766	ULTRAC	1	303	Polivitamínico
2766	ULTRAC	9	487	Energizante
2768	ULTRAPROCT	9	80	Antihemorroides
2771	UNASYN IM/IV	9	91	Antibiótico
2772	UNASYNA	9	202	Antibiótico de amplio espectro
2775	UNGÜENTO AESCULUS	9	80	Antihemorroides
2776	UNGÜENTO ARNICA	9	112	Antiinflamatorio
2778	UNGÜENTO CICUTA	9	394	Analgésico local
2781	UNGÜENTO ECHINACEA	1	93	Antiviral
2781	UNGÜENTO ECHINACEA	2	95	Antiséptico
2782	UNGÜENTO GRAPHITES	9	90	Antipsoriásico
2783	UNGÜENTO HAMAMELIS	9	80	Antihemorroides
2789	UREN	9	77	Diurético
2790	URO-MICINOVO	1	218	Bactericida
2790	URO-MICINOVO	2	553	Analgésico urinario
2790	URO-MICINOVO	9	260	Quimioterápico
2791	UROALQUINE	9	613	Antilitiásico
2793	UROGOTAN A	9	115	Antigotoso
2795	UROMITEXAN	9	518	Uroprotector
2796	UROPIMIDE	9	257	Antibacteriano urinario
2802	VALCOTE	9	119	Antiepiléptico
2802	VALCOTE	9	171	Anticonvulsivo
2804	VALOREL	1	112	Antiinflamatorio
2804	VALOREL	9	118	Analgésico
2805	VALPIN	1	5	Antiespasmódico
2805	VALPIN	9	10	Antiemético
2810	VARIPLANT	0	80	Antihemorroides
2810	VARIPLANT	0	82	Antivaricoso
2813	VASELINA EMULSIONADA L.CH.	9	17	Laxante
2815	VASELINA LIQUIDA MEDICINAL	9	17	Laxante
2818	VASELINA LIQUIDA MEDICINAL	9	280	Evacuante intestinal
2820	VASELINA LIQUIDA MEDICINAL L.CH.	9	17	Laxante
2821	VASELINA SOLIDA	9	153	Lubricante
2823	VATANAL	9	699	Antihemorroidal
2824	VAXIGRIP	9	536	Inmunización antigripal
2831	VENORUTON	9	82	Antivaricoso
2832	VENTIDE	1	112	Antiinflamatorio
2832	VENTIDE	9	144	Broncodilatador
2835	VERMOIL	9	135	Antiparasitario
2835	VERMOIL	9	137	Antihelmíntico
2839	VIADIL	9	5	Antiespasmódico
2840	VIADIL COMPUESTO	1	5	Antiespasmódico
2840	VIADIL COMPUESTO	9	118	Analgésico
2841	VIBRAMICINA	9	91	Antibiótico
2846	VIGORBAN	9	406	Suplemento nutricional
2852	VIOLETA GENCIANA AL 2%	9	341	Antiséptico tópico
2853	VIOLETA DE GENCIANA AL 1%	9	95	Antiséptico
2859	VISINE	9	270	Descongestivo oftálmico
2860	VISKALDIX	9	76	Antihipertensivo
2863	VI-SYNERAL	9	408	Polivitamínico con minerales
2866	VITAC	9	466	Vitamínico
2870	VITAGENOL CAPSULAS	9	217	Reconstituyente general
2874	VITAMINAS ADC L.CH.	9	816	Suplemento vitamínico
2875	VITAMINAS B1 B6 B12	9	303	Polivitamínico
2880	VITAMINA E	9	466	Vitamínico
2883	VITAMINA E	9	466	Vitamínico
2885	VITAMINAS B1 B6 B12 10000 L.CH.	9	466	Vitamínico
2888	VITERNUM	9	245	Orexígeno
2889	VITERNUM VITAMINADO	9	245	Orexígeno
2892	VIVOTIF	9	511	Inmunización antitífica
2897	VOLTAREN EMULGEL	1	112	Antiinflamatorio
2897	VOLTAREN EMULGEL	2	721	Analgésico percutáneo
2899	VONTROL	0	10	Antiemético
2899	VONTROL	1	180	Antivertiginoso
2902	WINASORB	1	118	Analgésico
2902	WINASORB	9	121	Antipirético
2911	YASTA	1	118	Analgésico
2911	YASTA	9	2	Antiácido
2915	ZANTAC	9	7	Antiulceroso
2916	ZAVEDOS	9	247	Antineoplásico
2917	ZENTEL	9	137	Antihelmíntico
2918	ZENTRALIN	9	79	Antagonista del calcio
2921	ZETIX	9	363	Inductor del sueño
2922	ZIMAQUIN	9	485	Inductor de la ovulación
2931	ZOLBEN	1	118	Analgésico
2931	ZOLBEN	9	121	Antipirético
2934	ZOTRAN	9	224	Ansiolítico
2935	ZOVIRAX	9	93	Antiviral
2936	ZYLORIC	9	223	Hipouricémico
2937	ZYRTEC	9	142	Antialérgico
2940	DICLOTAREN	1	118	Analgésico
2940	DICLOTAREN	2	112	Antiinflamatorio
2940	DICLOTAREN	3	113	Antirreumático
2944	PEDIADERM	1	185	Cicatrizante
2944	PEDIADERM	9	480	Regenerador tisular
2947	CLIMATROL FORTE	9	305	Estrogenoterapia
2954	ZITHROMAX	0	91	Antibiótico
2962	MULTIFUNG	9	376	Antimicótico tópico
2963	TELEBRIX 30 MEGLUMINA	9	566	Medio de contraste radiológico
2964	TELEBRIX 350	9	566	Medio de contraste radiológico
2970	NURSOY	9	406	Suplemento nutricional
2972	SEDOFANTIL	9	127	Sedante
2974	CAPRIMIDA	9	654	Suplemento de calcio
2990	LEPONEX	9	525	Antipsicótico
2991	SANDIMMUN	9	156	Inmunosupresor
2993	SANDOSTATIN	1	338	Inhibidor de la secreción gástrica
2993	SANDOSTATIN	9	731	Tratamiento de la acromegalia
3001	CERVILANE	0	180	Antivertiginoso
3002	ESCAR T CENTELLA ASIATICA	1	650	Regulador del tejido conjuntivo
3002	ESCAR T CENTELLA ASIATICA	2	185	Cicatrizante
3002	ESCAR T CENTELLA ASIATICA	3	170	Anticelulítico
3005	ESCAR T-NEOMICINA	1	650	Regulador del tejido conjuntivo
3005	ESCAR T-NEOMICINA	9	36	Antibioticoterapia
3008	ENSURE	9	406	Suplemento nutricional
3011	LIVIAL	1	305	Estrogenoterapia
3011	LIVIAL	2	397	Progestagenoterapia
3013	BAJATEN	9	76	Antihipertensivo
3014	NEO BUTARTROL	1	118	Analgésico
3014	NEO BUTARTROL	2	192	Miorrelajante
3014	NEO BUTARTROL	9	112	Antiinflamatorio
3017	BICNU	9	247	Antineoplásico
3018	HYDREA	9	247	Antineoplásico
3019	MEGACE	9	247	Antineoplásico
3029	CLAVINEX	9	202	Antibiótico de amplio espectro
3043	METOTREXATO	9	247	Antineoplásico
3054	PIRITINOL L.CH.	9	486	Psicoenergético
3055	TROXXIL	1	92	Antimicótico
3055	TROXXIL	9	135	Antiparasitario
3057	CALCEFOR	9	291	Calciterápico
3058	ENADIOL	9	305	Estrogenoterapia
3059	TIORIDAZINA L.CH.	9	525	Antipsicótico
3062	GINEDAZOL DUAL	1	92	Antimicótico
3062	GINEDAZOL DUAL	9	99	Tricomonicida
3063	VITAMINA E L.CH.	9	466	Vitamínico
3064	MIGRATAM	9	288	Antijaquecoso
3065	ACIDO MEFENAMICO L.CH.	1	118	Analgésico
3065	ACIDO MEFENAMICO L.CH.	9	112	Antiinflamatorio
3067	CINARIZINA L.CH.	9	758	Vasodilatador cerebral y periférico
3068	CLOBETASOL L.CH.	9	267	Corticosteroide tópico
3069	CLORMEZANONA L.CH.	9	594	Mioespasmolítico
3070	FLUNARIZINA L.CH.	1	78	Vasodilatador cerebral
3070	FLUNARIZINA L.CH.	9	198	Vasodilatador periférico
3071	KETOPROFENO L.CH.	1	112	Antiinflamatorio
3071	KETOPROFENO L.CH.	2	118	Analgésico
3072	LINCOMICINA L.CH.	9	91	Antibiótico
3073	NAPROXENO SODICO L.CH.	1	118	Analgésico
3073	NAPROXENO SODICO L.CH.	9	112	Antiinflamatorio
3075	NANDROLONA DECANOATO L.CH.	9	45	Anabólico
3076	TRICEF	9	325	Antiinfeccioso respiratorio
3077	KILNITS	0	186	Pediculicida
3078	FENOKOMP 39	0	17	Laxante
3079	RINOVEN	1	182	Descongestivo nasal
3079	RINOVEN	9	88	Antihistamínico
3081	AZACORTID	9	956	Corticoterapia oral
3082	HIPOGE	9	112	Antiinflamatorio
3082	HIPOGE	9	142	Antialérgico
3082	HIPOGE	9	267	Corticosteroide tópico
3083	LAMISIL	9	92	Antimicótico
3084	AFLAREX	9	313	Antiinflamatorio oftálmico
3116	LEVADURA DE CERVEZA	9	493	Suplemento alimenticio
3117	LECITINA 1200	9	406	Suplemento nutricional
3120	CARTILAGO D-6	9	644	Tratamiento de la artritis
3121	DAIVONEX	9	90	Antipsoriásico
3131	SOLVOBIL	1	253	Hepatoprotector
3131	SOLVOBIL	2	402	Litolítico
3134	CIPROFLOXACINO	9	248	Antimicrobiano
3139	GLICERINA	9	17	Laxante
3141	AMILENE	9	10	Antiemético
3142	NIFURAT	9	25	Antidiarreico
3145	LORATADINA	1	88	Antihistamínico
3145	LORATADINA	2	142	Antialérgico
3154	IBEROL 500 + FOLICO 800 GRADUMET	9	69	Antianémico
3161	ATROVENT	1	144	Broncodilatador
3161	ATROVENT	9	8	Anticolinérgico
3163	CAPRIMIDA D	1	654	Suplemento de calcio
3163	CAPRIMIDA D	9	466	Vitamínico
3169	PLAQUETIL	9	167	Antiagregante plaquetario
3170	SAL LITE	9	1188	Sal dietética
3171	FOLIFER	1	69	Antianémico
3171	FOLIFER	9	70	Hematínico
3172	AROXAT	9	130	Antidepresivo
3173	FERRANEM	9	69	Antianémico
3184	GINKGO BILOBA L.CH.	9	758	Vasodilatador cerebral y periférico
3186	PENTOXIFILINA L.CH.	9	389	Vasodilatador
3187	TURBOGESIC	1	113	Antirreumático
3187	TURBOGESIC	2	118	Analgésico
3187	TURBOGESIC	9	213	Antiinflamatorio no esteroide
3188	BURTEN	1	916	Analgésico no narcótico
3188	BURTEN	9	121	Antipirético
3190	COTRIMOXAZOL	9	26	Antibacteriano
3192	SANITER COMPUESTO	9	123	Antiparkinsoniano
3193	COTRISAN	9	376	Antimicótico tópico
3195	AB ANTITUSIVO	9	179	Antitusivo
3195	AB ANTITUSIVO	9	193	Antiséptico bucofaríngeo
3199	TEARS NATURALE II	9	41	Lubricante oftálmico
3200	TEARS NATURALE FREE	9	601	Lubricante ocular
3204	CIDOTEN INYECTABLE	1	112	Antiinflamatorio
3204	CIDOTEN INYECTABLE	2	113	Antirreumático
3204	CIDOTEN INYECTABLE	9	142	Antialérgico
3207	ENDOXAN	1	247	Antineoplásico
3207	ENDOXAN	2	81	Citostático
3209	ELIXINE	9	143	Antiasmático
3213	LOCERYL	9	205	Antimicótico de amplio espectro
3215	LANEXAT	9	733	Antagonista benzodiazepínico
3216	NEUPOGEN	9	481	Factor recombinante humano
3225	GLAFORNIL	9	419	Hipoglucemiante oral
3228	BETAMETASONA	9	267	Corticosteroide tópico
3229	CARBAMAZEPINA	1	119	Antiepiléptico
3229	CARBAMAZEPINA	2	171	Anticonvulsivo
3236	VITAMINA E	9	466	Vitamínico
3243	URSOFALK CAPSULAS	9	253	Hepatoprotector
3243	URSOFALK CAPSULAS	9	402	Litolítico
3244	HIPECOR	9	68	Antiarrítmico
3245	BRITAXOL	9	247	Antineoplásico
3249	ELCAL	9	291	Calciterápico
3251	ACICLOVIR	9	93	Antiviral
3252	BROMHEXINA	1	145	Expectorante
3252	BROMHEXINA	9	235	Mucolítico
3253	CLORAMFENICOL	9	91	Antibiótico
3254	DICLOFENACO	1	118	Analgésico
3254	DICLOFENACO	2	112	Antiinflamatorio
3256	MUCOBROL	9	145	Expectorante
3256	MUCOBROL	9	179	Antitusivo
3256	MUCOBROL	9	235	Mucolítico
3258	OSSOGENON	9	231	Antiosteoporótico
3259	DICLOFENACO SODICO	1	118	Analgésico
3259	DICLOFENACO SODICO	9	112	Antiinflamatorio
3260	METAMIZOL SODICO (DIPIRONA)	9	118	Analgésico
3262	METOCLOPRAMIDA CLORHIDRATO	9	10	Antiemético
3264	CAM	1	88	Antihistamínico
3264	CAM	2	142	Antialérgico
3264	CAM	9	94	Corticosteroide
3265	ENADIOL MP	9	305	Estrogenoterapia
3266	FRESHMEL	9	193	Antiséptico bucofaríngeo
3267	YOCON	9	586	Estimulante de la función sexual
3274	ACT-HIB	9	533	Inmunoterapia
3278	PNEUMO 23	9	534	Inmunización antineumocócica
3283	CAFIASPIRINA	9	112	Antiinflamatorio
3283	CAFIASPIRINA	9	118	Analgésico
3283	CAFIASPIRINA	9	121	Antipirético
3290	TIMOGLOBULINA	9	156	Inmunosupresor
3296	CICLOMEX	9	103	Anticonceptivo
3297	ACAMOL	1	118	Analgésico
3297	ACAMOL	2	121	Antipirético
3306	EUCERIN PH5 SKIN CARE	9	19	Emoliente
3306	EUCERIN PH5 SKIN CARE	9	415	Protector dérmico
3307	EUCERIN PH5 CLEANSING	9	695	Dermatocosmético
3308	EUCERIN SOLAR	9	415	Protector dérmico
3311	NIMUS	1	73	Hipolipemiante
3311	NIMUS	9	276	Hipocolesterolemiante
3315	MIGRA-NEFERSIL	9	288	Antijaquecoso
3316	DESSOLETS	9	141	Descongestivo
3316	DESSOLETS	9	431	Antialérgico oftálmico
3322	PLAQUINOL	9	113	Antirreumático
3323	KONAKION MM	9	35	Vitaminoterapia
3337	HYTRIN	9	444	Terapia prostática
3341	NUTRILON SOYA	9	1130	Fórmula infantil desde el nacimiento-6 meses
3355	AYREMENTOL	9	178	Antipruriginoso
3355	AYREMENTOL	9	446	Humectante
3356	ALCOHOL YODADO	1	95	Antiséptico
3356	ALCOHOL YODADO	9	216	Germicida
3357	BUCOSEPTIL	9	193	Antiséptico bucofaríngeo
3358	FERRANIM	9	69	Antianémico
3359	CLONALGIN	9	118	Analgésico
3361	IBUPIRAC COMPUESTO	1	118	Analgésico
3361	IBUPIRAC COMPUESTO	9	213	Antiinflamatorio no esteroide
3369	ALUMINIO HIDROXIDO S.O.	9	2	Antiácido
3370	CLOTRIMAZOL	9	92	Antimicótico
3371	DICLOFENACO SODICO	1	118	Analgésico
3371	DICLOFENACO SODICO	2	112	Antiinflamatorio
3371	DICLOFENACO SODICO	9	121	Antipirético
3373	KETOCONAZOL	9	92	Antimicótico
3376	ENFAMIL FORTIFICADOR DE LECHE MATERNA	9	522	Complemento nutricional
3379	DANTRIUM INTRAVENOSO	1	1210	Tratamiento de hipertemia maligna
3379	DANTRIUM INTRAVENOSO	2	364	Antiespástico
3384	NOVAFAC CC	1	469	Estrógeno
3384	NOVAFAC CC	9	397	Progestagenoterapia
3387	OXOLAMINA	1	53	Antiinflamatorio respiratorio
3387	OXOLAMINA	2	179	Antitusivo
3388	ALOPURINOL	1	223	Hipouricémico
3388	ALOPURINOL	2	115	Antigotoso
3389	BIFONAZOL	9	376	Antimicótico tópico
3393	DORMINOCTIL	9	363	Inductor del sueño
3394	CARDIOASPIRINA	9	167	Antiagregante plaquetario
3395	ORTOXINE	9	193	Antiséptico bucofaríngeo
3419	COROTROPE	9	494	Inotrópico
3428	ENALTEN D	0	191	Hipotensor
3428	ENALTEN D	1	84	Inhibidor de la ECA
3428	ENALTEN D	9	77	Diurético
3429	OFTAGEN COMPUESTO	9	91	Antibiótico
3430	OFTASONA P	9	20	Corticosteroide oftálmico
3431	CIPROVAL OFTALMICO	9	600	Antibacteriano ocular
3441	CLEXANE	9	290	Antitrombótico
3446	LAMPIT	1	1227	Tripanocida
3446	LAMPIT	2	362	Antichagásico
3452	FLIXOTIDE	9	94	Corticosteroide
3452	FLIXOTIDE	9	112	Antiinflamatorio
3453	FLIXONASE	9	94	Corticosteroide
3453	FLIXONASE	9	112	Antiinflamatorio
3454	FLUTIVATE	9	267	Corticosteroide tópico
3455	PULBRONC	1	179	Antitusivo
3455	PULBRONC	2	235	Mucolítico
3455	PULBRONC	3	145	Expectorante
3456	GLUCOBAY	9	502	Antidiabético oral
3457	SERETRAN	9	130	Antidepresivo
3465	CLINIUM	9	130	Antidepresivo
3467	CARDURA	1	76	Antihipertensivo
3467	CARDURA	9	503	Bloqueante alfaadrenérgico
3471	DOXICICLINA L.CH.	9	26	Antibacteriano
3472	AUSENTRON	9	252	Antidepresivo tricíclico
3475	DONOMIX	1	229	Antifúngico
3475	DONOMIX	9	267	Corticosteroide tópico
3476	GOTALGIC	1	118	Analgésico
3476	GOTALGIC	9	152	Antiinfeccioso ótico
3477	VITA-NAT	9	303	Polivitamínico
3479	CHOLAX	9	280	Evacuante intestinal
3480	VITAMINA C	9	466	Vitamínico
3482	PROLONG 1000	9	238	Anestésico tópico
3491	HIDRORONOL T	9	76	Antihipertensivo
3491	HIDRORONOL T	9	77	Diurético
3496	FAMIDAL DUAL	1	99	Tricomonicida
3496	FAMIDAL DUAL	2	92	Antimicótico
3496	FAMIDAL DUAL	9	26	Antibacteriano
3502	GEMITIN OFTALMICO	9	242	Antibiótico oftálmico
3503	PREDSOLETS FORTE	9	20	Corticosteroide oftálmico
3504	SUSTENAN 250	9	287	Androgenoterapia
3521	MEDROXIPROGESTERONA	1	306	Progestágeno
3521	MEDROXIPROGESTERONA	9	247	Antineoplásico
3525	TETAVAX	9	535	Inmunización antitetánica
3527	ACEITE DE ARNICA	9	924	Coadyuvante en dolores musculares, sabañones
3530	TALCO CALENDULADO	9	92	Antimicótico
3540	SIPIRAC AP	1	112	Antiinflamatorio
3540	SIPIRAC AP	2	113	Antirreumático
3540	SIPIRAC AP	9	474	Analgésico no esteroide
3545	AUGMENTIN INTRAVENOSO	9	202	Antibiótico de amplio espectro
3551	JABON NEUTRO	9	832	Sustituto del jabón
3562	PROPANOLOL CLORHIDRATO	1	68	Antiarrítmico
3562	PROPANOLOL CLORHIDRATO	2	76	Antihipertensivo
3563	RANITIDINA	9	1012	Antiulceroso gastroduodenal
3566	VERAPAMILO CLORHIDRATO	1	79	Antagonista del calcio
3566	VERAPAMILO CLORHIDRATO	2	76	Antihipertensivo
3566	VERAPAMILO CLORHIDRATO	9	68	Antiarrítmico
3567	AMIODARONA CLORHIDRATO	1	68	Antiarrítmico
3567	AMIODARONA CLORHIDRATO	2	76	Antihipertensivo
3568	BUPIVACAINA CLORHIDRATO	9	166	Anestésico local
3569	CIMETIDINA	1	6	Antagonista de los receptores H2
3569	CIMETIDINA	2	7	Antiulceroso
3569	CIMETIDINA	9	338	Inhibidor de la secreción gástrica
3575	EFEDRINA SULFATO	1	144	Broncodilatador
3575	EFEDRINA SULFATO	9	143	Antiasmático
3577	FAMOTIDINA	1	7	Antiulceroso
3577	FAMOTIDINA	2	496	Inhibidor H2
3581	BICARBONATO DE SODIO	9	410	Alcalinizante
3592	RETACNYL	9	98	Antiacneico
3592	RETACNYL	9	532	Fotoenvejecimiento
3596	GENOTONORM	9	58	Hormonoterapia
3597	KYTRIL	9	10	Antiemético
3612	BERSEN	9	747	Corticoterapia
3614	FUROSEMIDA	1	76	Antihipertensivo
3614	FUROSEMIDA	2	77	Diurético
3614	FUROSEMIDA	3	233	Antihipercalcemiante
3616	BUFLOMEDIL	9	758	Vasodilatador cerebral y periférico
3617	CODEIPAR	9	401	Analgésico opiáceo
3622	CYMEVENE	9	93	Antiviral
3622	CYMEVENE	9	197	Anticitomegalovirus
3625	CASEINATO DE CALCIO	9	493	Suplemento alimenticio
3673	RECORMON	9	564	Eritropoyético
3677	MAG-TAB S.R.	9	633	Suplemento de magnesio
3679	MISOTROL	9	489	Citoprotector
3680	AEROVIAL	9	143	Antiasmático
3687	NORMATOL	9	119	Antiepiléptico
3695	VISCOZYME	9	1192	Tratamiento de la fibrosis quística
3768	FUROXONA	1	25	Antidiarreico
3768	FUROXONA	9	218	Bactericida
3769	MACRODANTINA	9	529	Bactericida urinario
3770	FURACIN	1	95	Antiséptico
3770	FURACIN	9	218	Bactericida
3774	HIDROFUGAL	9	695	Dermatocosmético
3778	REFLEXAN	9	192	Miorrelajante
3779	TALFLEX	1	118	Analgésico
3779	TALFLEX	9	112	Antiinflamatorio
3782	PROSCAR	9	569	Inhibidor de la conversión de testosterona
3783	ZOCOR	9	73	Hipolipemiante
3788	SOMINEX	1	126	Hipnótico
3788	SOMINEX	2	127	Sedante
3790	CARDIOXANE	9	807	Cardioprotector
3792	NOVAFAC 30 SIMPLE	1	469	Estrógeno
3792	NOVAFAC 30 SIMPLE	9	397	Progestagenoterapia
3797	PLUSGIN	9	237	Antimicótico sistémico
3801	ZOMEPRAL	9	7	Antiulceroso
3802	ADROXEF	9	91	Antibiótico
3803	CEPRAZOL	9	135	Antiparasitario
3804	CORTIPREX	9	396	Corticosteroide oral
3805	CICLOFOSFAMIDA	9	247	Antineoplásico
3806	CITARABINA	1	247	Antineoplásico
3807	METOTREXATO	1	247	Antineoplásico
3807	METOTREXATO	2	90	Antipsoriásico
3807	METOTREXATO	3	113	Antirreumático
3810	FLUORURACILO	9	247	Antineoplásico
3811	PRODEL B	1	88	Antihistamínico
3811	PRODEL B	9	94	Corticosteroide
3816	ADORMIX	9	363	Inductor del sueño
3819	DERMABIOTICO	9	309	Antibiótico tópico
3821	UNIVAL	1	574	Inhibidor de la bomba de protones
3821	UNIVAL	9	7	Antiulceroso
3822	HIPOGE-U	9	112	Antiinflamatorio
3822	HIPOGE-U	9	142	Antialérgico
3823	GLAUSOLETS	0	268	Antiglaucomatoso
3824	KILIOS	9	58	Hormonoterapia
3833	LANZOPRAL	1	7	Antiulceroso
3833	LANZOPRAL	9	574	Inhibidor de la bomba de protones
3834	ZOMETIC	9	363	Inductor del sueño
3836	DISTEX	9	474	Analgésico no esteroide
3864	CARISTOP DIARIO	9	865	Fluorterapia tópica
3865	NIMICOR	1	73	Hipolipemiante
3865	NIMICOR	9	420	Coronarioterápico
3867	NASTUL COMPUESTO	1	118	Analgésico
3867	NASTUL COMPUESTO	9	141	Descongestivo
3868	NASTUL GOTAS	1	88	Antihistamínico
3868	NASTUL GOTAS	9	182	Descongestivo nasal
3870	DOLO-KETAZON	1	118	Analgésico
3870	DOLO-KETAZON	2	112	Antiinflamatorio
3877	JABON ACIDO CON UREA	9	832	Sustituto del jabón
3878	RISPERDAL	9	525	Antipsicótico
3930	RAMIVAN	0	91	Antibiótico
3934	SOMNO	9	609	Hipnótico no benzodiazepínico
3937	REMITEX	9	142	Antialérgico
3939	MERPAL	1	118	Analgésico
3939	MERPAL	2	121	Antipirético
3939	MERPAL	9	213	Antiinflamatorio no esteroide
3951	POLVOS ALCALINOS	9	2	Antiácido
3952	ESTRACYT	9	247	Antineoplásico
3956	NEOTIGASON	1	90	Antipsoriásico
